사번,논문제목,게재년월,저자역할,val_title,val_rank,,
188072,Fabrication of Magnetite Nanoparticle-embedded Polystyrene Composites and Their Additive Role on the Dynamic Properties of Carbonyl Iron-based Magneto-rheological Fluids,201903,corresponding author,valid,valid,,
188072,Micron-Size White Bamboo Fibril-Based Silane Cellulose Aerogel: Fabrication and Oil Absorbent Characteristics,201906,corresponding author,valid,invalid,,
188072,Poly(glycidyl methacrylate) Coated Soft-Magnetic Carbonyl Iron/Silicone Rubber Composite Elastomer and Its Magnetorheology,201905,corresponding author,valid,valid,,
188072,Recent development of electro-responsive smart electrorheological fluids,201906,corresponding author,valid,invalid,,
188072,Viscoelastic and mechanical behaviors of magneto-rheological carbonyl iron/natural rubber composites with magnetic iron oxide nanoparticle,201904,corresponding author,valid,invalid,,
188072,Spontaneous Phase Separation of Poly(3-hexylthiophene)s with Different Regioregularity for a Stretchable Semiconducting Film,201906,공동,valid,valid,,
188072,Role of calcium carbonate as an interfacial compatibilizer in the magneto-rheological elastomers based on ethylene/acrylic elastomer (AEM) and its magneto-induced properties,201908,공동,valid,valid,,
188072,Rheological and mechanical properties of polypropylene composites containing microfibrillated cellulose (MFC) with improved compatibility through surface silylation,201901,공동,valid,valid,,
188072,Non-Einstein Viscosity Phenomenon of Acrylonitrile-Butadiene-Styrene Composites Containing Lignin-Polycaprolactone Particulates Highly Dispersed by High-Shear Stress,201906,공동,valid,valid,,
188072,Quantitative Electrode Design Modeling of an Electroadhesive Lifting Device Based on the Localized Charge Distribution and Interfacial Polarization of Different Objects,201905,공동,valid,valid,,
188072,Quantitative characterization of a voltage-dependent pseudocapacitance on heteroatom-enriched nanoporous carbons,201903,공동,valid,valid,,
188072,Polyindole nanoparticle-based electrorheological fluid and its green and clean future potential conformance control technique to oil fields,201909,corresponding author,valid,valid,,
188072,Graphene Oxide and Its Inorganic Composites: Fabrication and Electrorheological Response,201907,corresponding author,valid,valid,,
188072,"Comment on 'Synthesis, characterization and magnetorheological study of 3-aminopropyltriethoxysilane-modified Fe3O4 nanoparticles'",201907,corresponding author,valid,invalid,,
188072,Raman spectroscopy study of solution-processed In2O3 thin films: effect of annealing temperature on the characteristics of In2O3 semiconductors and thin-film transistors,201901,공동,valid,valid,,
188072,Effects of dispersion state on rheological and electrical characteristics of concentrated multiwalled carbon nanotube suspensions,201908,corresponding author,valid,valid,,
188072,Nanosilica Extracted from Hexafluorosilicic Acid of Waste Fertilizer as Reinforcement Material for Natural Rubber: Preparation and Mechanical Characteristics,201908,corresponding author,valid,invalid,,
188072,Electrorheological Characteristics of Poly(diphenylamine)/magnetite Composite-Based Suspension,201909,corresponding author,valid,valid,,
188072,Toughness and rheological characteristics of poly(lactic acid)/acrylic core-shell rubber blends,201909,corresponding author,valid,valid,,
188072,Facile fabrication of core-shell typed silica/poly(diphenylamine) composite microparticles and their electro-response,201910,corresponding author,valid,valid,,
188072,Effect of medium viscosity on rheological characteristics of magnetite-based magnetorheological fluids,201912,corresponding author,valid,invalid,,
188072,"Highly Tough, Biocompatible, and Magneto-Responsive Fe3O4/Laponite/PDMAAm Nanocomposite Hydrogels",201910,corresponding author,valid,invalid,,
188072,Synthesis of conducting polymeric nanoparticles in the presence of a polymerizable surfactant and their electrorheological response,201905,corresponding author,valid,valid,,
188072,Stimuli-Responsive Graphene Oxide-Polymer Nanocomposites,201911,corresponding author,valid,valid,,
188072,Suspensions of Hollow Polydivinylbenzene Nanoparticles Decorated with Fe3O4 Nanoparticles as Magnetorheological Fluids for Microfluidics Applications,201911,corresponding author,valid,invalid,,
188072,Microfibrillated Cellulose Suspension and Its Electrorheology,201912,corresponding author,valid,valid,,
188173,The Effect of Entrepreneurship Orientation on Firm Performance: A Multiple Mediation Model,201901,공동,valid,valid,,
188173,Agriculture Development and Crop Diversification in Western Himalayan State of Himachal Pradesh,201909,corresponding author,unknown--,unknown--,,
188173,Development Mechanism of Cross-Border E-commerce and Logistics in China : Focused on JD.com,201912,corresponding author,unknown--,unknown--,,
188307,조선시대 민화를 응용한 스카프 디자인 개발 - 화조화를 중심으로 -,201903,제1저자,unknown--,unknown--,,
188307,전통 보자기를 활용한 스카프 디자인 개발 - 조각보와 자수보를 중심으로 -,201912,corresponding author,unknown--,unknown--,,
188312,"The eschar size and early inoculation lesion of tsutsugamushi disease on jeju Island, Korea",201912,공동,valid,valid,,
188312,History of tsutsugamushi disease in Korea,201906,공동,valid,valid,,
189055,P-Protein: A Novel Target for Skin-whitening Agent,201901,corresponding author,valid,valid,,
189058,"Distinct phylogeographic structure of the halophyte Suaeda malacosperma (Chenopodiaceae/Amaranthaceae), endemic to Korea-Japan region, influenced by historical range shift dynamics",201903,corresponding author,valid,valid,,
189058,"Complete chloroplast genome of Fagus multinervis, a beech species endemic to Ulleung Island in South Korea",201905,corresponding author,valid,valid,,
189058,Plastid genome evolution in tribe Desmodieae (Fabaceae: Papilionoideae),201907,corresponding author,valid,valid,,
189058,한국산 도둑놈의갈고리족(콩과)의 DNA 바코드 및 계통학적 연구,201909,corresponding author,unknown--,unknown--,,
189058,조록싸리 종내 분류군과 잡종의 분류학적 연구,201912,corresponding author,unknown--,unknown--,,
189164,State-vector equation method for the frequency domain spectral element modeling of non-uniform one-dimensional structures,201907,corresponding author,valid,valid,,
189173,Custom-Made Eyeglass-Holding Hook on a Snapback Cap to Prevent Nose-Pads From Directly Resting Upon the Nose,201910,corresponding author,valid,invalid,,
189220,Novel hemostatic adhesive powder for nonvariceal upper gastrointestinal bleeding,201912,공동,unknown--,unknown--,,
189220,Efficacy of a novel hemostatic adhesive powder in patients with refractory upper gastrointestinal bleeding: a pilot study,201901,공동,valid,valid,,
189220,Endoscopic Enucleation Is Effective and Relatively Safe in Small Gastric Subepithelial Tumors Originating from Muscularis Propria,201901,공동,valid,valid,,
189228,2015년 국내에서 분리된 살모넬라의 혈청형 및 항균제 감수성,201909,공동,unknown--,unknown--,,
189230,Sialolith: How Big?,201905,제1저자,invalid (0.31),invalid,,
189230,Association between salivary secretary function and laryngopharyngeal reflux: a prospective study,201912,corresponding author,valid,valid,,
189230,Adipose-derived mesenchymal stem cells regenerate radioiodine-induced salivary gland damage in a murine model,201910,공동,valid,valid,,
189230,Identification of new genes of pleomorphic adenoma,201912,공동,valid,valid,,
189230,Parotid ductal stenosis after facial cosmetic surgery (2 case reports),201904,공동,valid,valid,,
189230,Protective effects of curcumin on radioiodine-induced salivary gland dysfunction in mice,201904,공동,valid,valid,,
189230,Fucoidan attenuates radioiodine-induced salivary gland dysfunction in mice,201908,제1저자,valid,valid,,
189230,Tongue base varix as a source of oral bleeding A case report,201910,제1저자,valid,valid,,
190053,Synthesis of Novel Palladium Complexes Containing beta-Diketonate and NHC Ligands and their Catalytic Ability for Addition Polymerizations of the Functional Norbornenes,201907,corresponding author,valid,valid,,
190053,유기합성실험실 연구자의 단위작업별 노출 평가,201901,공동,unknown--,unknown--,,
190053,의료기관 화재사고의 근본원인분석과 안전성 향상에 관한 연구,201906,corresponding author,unknown--,unknown--,,
190053,항만 내 컨테이너 위험물 저장 시 위험성 평가 및 개선방안,201906,공동,unknown--,unknown--,,
190053,화학사고 발생 시 재난약자 대상으로  소산계획 개선방안에 관한 연구,201906,corresponding author,unknown--,unknown--,,
190053,화학사고 발생 시 필요한 합리적인 대피소 선정방법에 관한 연구,201906,공동,unknown--,unknown--,,
190053,휘발성 유기용제 취급 사업장의 위해성평가 및 위해저감 방안 수립 연구,201906,공동,unknown--,unknown--,,
190053,지속가능경영을 위한 ISO 요구사항 기반 정량적 협력업체 평가모델 구축 _반도체 공정에 한하여,201906,corresponding author,unknown--,unknown--,,
190053,근로자의 건강영향인지와 사망만인율을 통한 직무스트레스 해소계수 산정- 제조업 현장근로자를 중심으로 -,201906,공동,unknown--,unknown--,,
190059,Effects of jupcheong (soaking in syrup) with ginger powder on the lipid oxidation and antioxidant stability of yakgwa (Korean deep-fried confection),201904,corresponding author,valid,valid,,
190059,"반죽에 첨가한 계피, 생강, 치자가루가 약과 저장 중 지방질 산화와 산화방지제 안정성에 미치는 영향",201904,corresponding author,unknown--,unknown--,,
190059,Interaction effect of tocopherol homologs with peppermint extract on the iron-catalyzed oxidation of soybean oil-in-water emulsion,201912,corresponding author,valid,valid,,
190088,Prediction Value of SPECT/CT in Avascular Necrosis of Femoral Head After Femur Neck Fracture,201909,corresponding author,invalid (0.50),invalid,,
190088,Is the Oral Chemical Prophylaxis Necessary for the Prevention of Venous Thromboembolism after Joint Arthroplasty in a Korean Population?,201909,제1저자,unknown--,unknown--,,
190088,Long-Term Results of Hip Arthroplasty Using Extensive Porous-Coated Stem-A Minimum Follow-Up of 15 Years,201912,corresponding author,unknown--,unknown--,,
190175,Multi-Asymmetric Ion-Diode Membranes with Superior Selectivity and Zero Concentration Polarization Effect,201909,공동,valid,valid,,
190182,"인천지역 초등학교 5학년 대상 ‘어린이 건강UP 안전한 식생활교육’ 의 영양·식품안전 지식, 태도, 실천의 변화에 대한 효과",201902,corresponding author,unknown--,unknown--,,
190182,인천지역 일부 중학생의 학교급식 건강메뉴에 대한 기호도 연구,201903,corresponding author,unknown--,unknown--,,
190182,Comparison of nutrient intakes by nutritional anemia and the association between nutritional anemia and chronic diseases in Korean elderly: Based on the 2013-2015 Korea National Health and Nutrition Examination Survey Data,201912,corresponding author,valid,valid,,
190182,인천지역 장기요양시설과 주간보호시설 여성치매노인의 인지기능 및 영양섭취 비교,201908,corresponding author,unknown--,unknown--,,
190182,Consumption Patterns and Importance-Performance Analysis of Home Meal Replacements by Level of Taurine-Related Nutritional Knowledge in Korean Adults,201911,corresponding author,valid,valid,,
190182,Demands for Development of Taurine-Containing Home Meal Replacement for Prevention of Dementia According to Age,201911,corresponding author,valid,valid,,
190182,Dietary Taurine Intake and Its Food Sources in Korean Young Adults Using 2015 Korea National Health and Nutrition Examination Survey Data,201911,corresponding author,valid,valid,,
190182,Effects of Dietary Taurine Supplementation on Blood and Urine Taurine Concentrations in the Elderly Women with Dementia,201911,corresponding author,valid,valid,,
190182,Food Preference of the Elderly for the Development of Taurine-Containing Elderly-Friendly Foods,201911,corresponding author,valid,valid,,
190182,"Positive Changes in Blood Lipid Profiles, Nutrition Knowledge, and Dietary Taurine Intake After 8-Week Nutrition Education Program in Low-Income Korean Children",201911,corresponding author,valid,valid,,
190182,"Relationship Among Dietary Taurine Intake, Dietary Attitudes, Dietary Behaviors, and Life Stress by Depression in Korean Female College Students",201911,corresponding author,valid,valid,,
190182,Taurine-Related Nutritional Knowledge Has a Positive Effect on Intake of Taurine and Cognitive Function in the Elderly,201911,corresponding author,valid,valid,,
190182,The Development of Taurine Supplementary Menus for the Prevention of Dementia and Their Positive Effect on the Cognitive Function in the Elderly with Dementia,201911,corresponding author,valid,valid,,
190182,Glucose-Taurine Reduced Exerts Neuroinflammatory Responses by Inhibition of NF-kappa B Activation in LPS-Induced BV2 Microglia,201911,공동,valid,valid,,
190182,Anti-inflammatory Action of Glucose-Taurine Reduced by Inhibiting NF-kappa B Activation in LPS-Activated RAW264.7 Macrophages,201911,공동,valid,valid,,
190182,Ribose-Taurine Suppresses Inflammation Through NF-kappa B Regulation in Activated RAW 264.7 Macrophages,201911,공동,unknown--,unknown--,,
190182,인천지역 부모의 식습관과 식사?편식지도가 유아의 식습관 및 식품 기호도에 미치는 영향,201912,corresponding author,unknown--,unknown--,,
190182,성별에 따른 중년층의 가정간편식에 대한 소비행동과 선택속성,201912,corresponding author,unknown--,unknown--,,
191059,Influence of the distribution of nanoparticles on the NO2 sensing properties of SnO2 nanorods decorated with CaO and Pt,201906,공동,valid,valid,,
191059,NO2 sensing properties of WO3-decorated In2O3 nanorods and In2O3-decorated WO3 nanorods,201911,공동,valid,valid,,
191060,Marginal States of Light,201905,제1저자,valid,valid,,
191062,주민투표법개정안의 문제점과 보완방안,201909,제1저자,unknown--,unknown--,,
191066,깊이 영상 기반 필터를 적용한 효과적인 호모그래피 추정 방법,201902,corresponding author,unknown--,unknown--,,
191066,Unbalanced U-Net과 GAN(Generative Adversarial Networks)을 이용한 한국어 폰트 자동 변환,201901,corresponding author,unknown--,unknown--,,
191066,Robust visual tracking based on global-and-local search with confidence reliability estimation,201908,corresponding author,valid,valid,,
191066,Visual tracking based on a unified tracking-and-detection framework with spatial-temporal consistency filtering,201912,corresponding author,valid,valid,,
191066,Channel Attention과 그룹 컨볼루션을 이용한 효율적인 얼굴 감정인식 CNN,201912,corresponding author,unknown--,unknown--,,
191144,GM-CSF Enhances Mobilization of Bone Marrow Mesenchymal Stem Cells via a CXCR4-Medicated Mechanism,201902,corresponding author,valid,valid,,
