영문명(추가),성명,제목,저자수,게재면,역할,val_title,val_pages,val_rank
Young Ki Lee,이영기,Deposition of sticky spheres in channel flow: Modeling of surface coverage evolution requires accurate sphere-sphere collision hydrodynamics,5,383-393,제1저자,valid,valid,valid
Young Ki Lee,이영기,Particle dynamics at fluid interfaces studied by the color gradient lattice Boltzmann method coupled with the smoothed profile method,2,53302,제1저자,valid,valid,valid
Pil Rip Jeon,전필립,Upgrading of petroleum vacuum residue using a hydrogen-donor solvent with acid-treated carbon,4,234-242,공동저자,valid,valid,valid
Pil Rip Jeon,전필립,Dissolution and reaction in a CO2-brine-clay mineral particle system under geological CO2 sequestration from subcritical to supercritical conditions,3,1-11,제1저자,valid,valid,valid
Pil Rip Jeon,전필립,Continuous bubble reactor using carbon dioxide and its mixtures for ballast water treatment,6,316-326,공동저자,valid,valid,valid
Pil Rip Jeon,전필립,Effect of surfactants on CO2 solubility and reaction in CO2-brine-clay mineral systems during CO2-enhanced fossil fuel recovery,2,1-11,제1저자,valid,invalid,valid
Pil Rip Jeon,전필립,Apparatus and method for treating ballast water,7,10266432,공동,unknown--,unknown--,unknown--
Pil Rip Jeon,전필립,Thermodynamics of CO2 Adsorption and CO2-Brine-Porous Mineral Reaction at Elevated Pressure for Simultaneous CO2 Sequestration and Fossil Fuel Product,1,1-170,,unknown--,unknown--,unknown--
Yoon Kyeung Lee,이윤경,Room Temperature Electrochemical Sintering of Zn Microparticles and Its Use in Printable Conducting Inks for Bioresorbable Electronics,6,1702665,제1저자,valid,valid,valid
Yoon Kyeung Lee,이윤경,Dissolution of Monocrystalline Silicon Nanomembranes and Their Use as Encapsulation Layers and Electrical Interfaces in Water-soluble Electronics,21,12562,제1저자,valid,invalid,valid
Yoon Kyeung Lee,이윤경,"Kinetics and Chemistry of Hydrolysis of Ultrathin, Thermally Grown Layers of Silicon Oxide as Biofluid Barriers in Flexible Electronic Systems",10,42633,제1저자,valid,invalid,valid
Yoon Kyeung Lee,이윤경,Chemical Interactions in Atomic Layer Deposition of Ge-Sb-Se-Te Films and Their Ovonic Threshold Switching Behavior,6,5025,교신저자,valid,invalid,valid
Yoon Kyeung Lee,이윤경,Atomic Layer Deposition of GeSe Films Using HGeCl3 and [(CH3)3Si]2Se with the Discrete Feeding Method for the Ovonic Threshold Switch,10,9574484,교신저자,valid,invalid,invalid
Yoon Kyeung Lee,이윤경,Electroforming-free Bipolar Resistive Switching in GeSe Thin Films with a Ti-containing Electrode,9,19448244,교신저자,valid,invalid,valid
Yoon Kyeung Lee,이윤경,"Developing Precursor Chemistry for Atomic Layer Deposition of High Density, Conformal GeTe Films for Phase Change Memory",7,8974756,교신저자,valid,invalid,valid
Yoon Kyeung Lee,이윤경,Atomic Layer Deposition of Nanocrystalline-as-Deposited (GeTe)x(Sb2Te3)1-x Films for Endurable Phase Change Memory,8,8752,교신저자,valid,invalid,valid
Yoon Kyeung Lee,이윤경,Defect Engineered Electroforming-Free Analog HfO2 Memristor and Its Application to the Neural Network,9,19448244,공동저자,valid,invalid,valid
Yoon Kyeung Lee,이윤경,Atomic Layer Deposition of GexSe1-x Thin Film for Endurable Ovonic Threshold Selector with Low Threshold Voltage,7,23110,교신저자,valid,invalid,valid
Sunghwan Jin,진성환,Orientation-Dependent Strain Relaxation and Chemical Functionalization of Graphene on a Cu(111) Foil,8,1706504,공동저자,valid,valid,valid
Sunghwan Jin,진성환,Highly Oriented Monolayer Graphene Grown on a Cu/Ni(111) Alloy Foil,19,6117-6127,공동저자,valid,valid,valid
Sunghwan Jin,진성환,Camphor-Enabled Transfer and Mechanical Testing of Centimeter-Scale Ultrathin Films,12,180888,공동저자,valid,invalid,valid
Sunghwan Jin,진성환,Colossal grain growth yields single crystal metal foils by contact-free annealing,22,1021-1025,제1저자,valid,valid,valid
Sunghwan Jin,진성환,Preparation and uses of large area single crystal metal foils,2,100905,교신저자,valid,valid,invalid
Sunghwan Jin,진성환,Charge Transfer during the Dissociation of H2 and the Charge State of H atoms in Liquid Gallium,7,26769?26776,공동저자,valid,invalid,valid
Sunghwan Jin,진성환,Chemically induced transformation of chemical vapour deposition grown bilayer graphene into fluorinated single-layer diamond,15,59-66,공동저자,valid,valid,valid
Sunghwan Jin,진성환,Synthesis of Highly Oriented Graphite Films with a Low Wrinkle Density and Near-Millimeter Scale Lateral Grains,10,3134-3143,공동저자,valid,invalid,valid
Sunghwan Jin,진성환,Large area single crystal AB-bilayer and ABA-trilayer graphene grown on a Cu/Ni(111) foil,17,289-295,공동저자,valid,valid,valid
Sunghwan Jin,진성환,"나노 복합체, 이를 포함하는 유연 및 신축성 복합체 및 이들의 제조방법",4,10-1774646,공동,unknown--,unknown--,unknown--
Gun-hee Moon,문건희,Ultra-efficient and durable photoelectrochemical water oxidation using elaborately designed hematite nanorod arrays,4,211-218,공동저자,valid,valid,valid
Gun-hee Moon,문건희,Synergistic combination of bandgap-modified carbon nitride and WO3 for visible light-induced oxidation of arsenite accelerated by in-situ Fenton react,6,819-824,교신저자,unknown--,unknown--,unknown--
Gun-hee Moon,문건희,Selective charge transfer to dioxygen on KPF6-modified carbon nitride for photocatalytic synthesis of H2O2 under visible light,7,51-58,제1저자,valid,valid,invalid
Gun-hee Moon,문건희,Structural engineering of 3D carbon materials from transition metal ion-exchanged Y zeolite templates,3,3779-3788,제1저자,valid,valid,valid
Gun-hee Moon,문건희,Oxalate-TiO2 complex-mediated oxidation of pharmaceutical pollutants through ligand-to-metal charge transfer under visible light,4,689-698,공동저자,valid,valid,valid
Gun-hee Moon,문건희,Oxidation of organic pollutants by persulfate activated with low-temperature-modified nanodiamonds: Understanding the reaction kinetics and mechanism,7,432-441,제1저자,valid,valid,invalid
Gun-hee Moon,문건희,Highly active cobalt-based electrocatalysts with facile incorporation of dopants for oxygen evolution reaction,4,3529-3533,제1저자,valid,invalid,valid
Gun-hee Moon,문건희,Minireview: Selective production of hydrogen peroxide as a clean oxidant over structurally tailored carbon nitride photocatalysts,4,55-64,교신저자,valid,valid,valid
Gun-hee Moon,문건희,Spontaneous oxidation of arsenite on platinized TiO2 through activating molecular oxygen under ambient aqueous condition,5,118146,제1저자,valid,valid,invalid
Gun-hee Moon,문건희,Ag(I) ions working as a hole-transfer mediator in photoelectrocatalytic water oxidation on WO3 film,8,967,공동저자,valid,valid,valid
Taehoon Kim,김태훈,Transition metal speciation as a degradation mechanism with the formation of a solid-electrolyte interphase (SEI) in Ni-rich transition metal oxide ca,5,14449-14463,제1저자,unknown--,unknown--,unknown--
Taehoon Kim,김태훈,Stacked-graphene layers as engineered solid-electrolyte interphase (SEI) grown by chemical vapour deposition for lithium-ion batteries,4,678-690,제1저자,valid,valid,valid
Taehoon Kim,김태훈,“Heat Wave” of Metal Halide Perovskite Solar Cells Continues in Phoenix,5,1898?1903,공동저자,valid,invalid,valid
Taehoon Kim,김태훈,Gas-solid reaction based over one-micrometer thick stable perovskite films for efficient solar cells and modules,11,2041-1723,공동저자,valid,invalid,valid
Taehoon Kim,김태훈,Negligible-Pb-Waste and Upscalable Perovskite Deposition Technology for High-Operational-Stability Perovskite Solar Modules,15,1803047,공동저자,valid,valid,valid
Taehoon Kim,김태훈,Hybrid chemical vapor deposition enables scalable and stable Cs-FA mixed cation perovskite solar modules with a designated area of 91.8 cm2 approachin,10,6920-6929,공동저자,unknown--,unknown--,unknown--
Taehoon Kim,김태훈,"Lithium-ion batteries: outlook on present, future, and hybridized technologies",5,2942-2964,제1저자,valid,valid,valid
Taehoon Kim,김태훈,Elucidating the Mechanism Involved in the Performance Improvement of Lithium-Ion Transition Metal Oxide Battery by Conducting Polymer,3,1801785,제1저자,valid,valid,valid
Tae Yun Kim,김태윤,Rewritable ghost floating gates by tunnelling triboelectrification for two-dimensional electronics,9,15891,제1저자,valid,valid,invalid
Tae Yun Kim,김태윤,Reliable Piezoelectricity in Bilayer WSe2 for Piezoelectric Nanogenerators,15,1606667,공동저자,valid,valid,valid
Tae Yun Kim,김태윤,High-Performance Triboelectric Nanogenerators Based on Solid Polymer Electrolytes with Asymmetric Pairing of Ions,8,1700289,공동저자,valid,valid,valid
Tae Yun Kim,김태윤,High-performance piezoelectric nanogenerators based on chemically-reinforced composites,6,1345-1642,공동저자,valid,invalid,valid
Tae Yun Kim,김태윤,Application of ferroelectric materials for improving output power of energy harvesters,3,30,제1저자,valid,valid,valid
Tae Yun Kim,김태윤,Cylindrical Free-Standing Mode Triboelectric Generator for Suspension System in Vehicle,5,17,제1저자,valid,valid,invalid
Tae Yun Kim,김태윤,ELECTROSTATIC ENERGY HARVESTER WITH IMPROVED TRANSPARENCY AND MECHANICAL PROPERTY USING TWO-DIMENSIONAL MATERAL ON FERROELECTRIC OR PIEZOELECTRIC MATE,5,10003281,공동,invalid (0.19),invalid,invalid
Tae Yun Kim,김태윤,TRIBOELECTRIC ENERGY HARVESTER USING ELECTROLYTE,9,10305395,공동,invalid (0.37),invalid,invalid
Tae Yun Kim,김태윤,마이크로폰 및 이의 제조 방법,9,10-1903420,책임,unknown--,unknown--,unknown--
Tae Yun Kim,김태윤,SPM 탐침을 이용한 전하주입 방식의 메모리 소자,7,10-1910278,책임,unknown--,unknown--,unknown--
Sungyeon Heo,허성연,Charge carrier concentration dependence of ultrafast plasmonic relaxation in conducting metal oxide nanocrystals,7,5757-5763,공동저자,valid,valid,valid
Sungyeon Heo,허성연,Template-Free Mesoporous Electrochromic Films on Flexible Substrates from Tungsten Oxide Nanorods,4,5756-5761,제1저자,valid,valid,valid
Sungyeon Heo,허성연,High mobility in nanocrystal-based transparent conducting oxide thin films,7,3200-3208,공동저자,valid,valid,valid
Sungyeon Heo,허성연,Competition between depletion effects and coupling in the plasmon modulation of doped metal oxide nanocrystals,4,2012?2019,공동저자,valid,invalid,valid
Sungyeon Heo,허성연,Wide Dynamic Range in Tunable Electrochromic Bragg Stacks from Doped Semiconductor Nanocrystals,3,1904555,제1저자,valid,valid,valid
Sungyeon Heo,허성연,Solvothermally-synthesized tin-doped indium oxide plasmonic nanocrystals spray-deposited onto glass as near-infrared electrochromic films,11,110014,공동저자,valid,valid,valid
Sungyeon Heo,허성연,Electrochromic Niobium Oxide Nanorods,6,468-475,공동저자,valid,valid,valid
Sungyeon Heo,허성연,"Spectrally tunable infrared plasmonic F,Sn:In2O3 nanocrystal cubes",15,14709,공동저자,valid,valid,valid
Sungyeon Heo,허성연,Enhanced Coloration Efficiency of Electrochromic Tungsten Oxide Nanorods by Site Selective Occupation of Sodium Ions,7,2072-2079,제1저자,valid,valid,valid
Sungyeon Heo,허성연,Doped tungsten oxide nanocrystals for next generation electrochromic windows,1,1-135,,unknown--,unknown--,unknown--
PARK Gi Dae,박기대,Design and synthesis of Janus-structured mutually doped SnO2-Co3O4 hollow nanostructures as superior anode materials for lithium-ion batteries,3,25319-25327,제1저자,valid,valid,valid
PARK Gi Dae,박기대,"Design and synthesis of spherical multicomponent aggregates composed of core-shell, yolk-shell, and hollow nanospheres and their lithium-ion storage p",2,1703957,제1저자,unknown--,unknown--,unknown--
PARK Gi Dae,박기대,Carbon microspheres with well-developed micro- and mesopores as excellent selenium host materials for lithium-selenium batteries with superior perform,4,21410-21418,제1저자,unknown--,unknown--,unknown--
PARK Gi Dae,박기대,Mesoporous graphitic carbon-TiO2 composite microspheres produced by a pilot-scale spray-drying process as an efficient sulfur host material for Li-S b,4,600-611,제1저자,valid,valid,valid
PARK Gi Dae,박기대,SiO2 microparticles with carbon nanotube-derived mesopores as an efficient support for enzyme immobilization,14,1252-1264,제1저자,valid,valid,invalid
PARK Gi Dae,박기대,Synthesis process of CoSeO3 microspheres for unordinary Li-ion storage performances and mechanism of their conversion reaction with Li ions,6,1901320,제1저자,valid,valid,valid
PARK Gi Dae,박기대,Unique structured microspheres with multishells comprising graphitic carbon-coated Fe3O4 hollow nanopowders as anode materials for high performance Li,5,15766-15773,제1저자,valid,valid,valid
PARK Gi Dae,박기대,Pitch-derived yolk-shell-structured carbon microspheres as efficient sulfur host materials and their application as cathode material for Li-S batterie,4,382-392,제1저자,unknown--,unknown--,unknown--
PARK Gi Dae,박기대,"Investigation of binary metal (Ni, Co) selenite as Li-ion battery anode materials and their conversion reaction mechanism with Li ions",4,1905289,제1저자,valid,valid,valid
PARK Gi Dae,박기대,Towards an efficient anode material for Li-ion batteries: understanding the conversion mechanism of nickel hydroxy chloride with Li ions,5,1939-1946,제1저자,valid,valid,invalid
"Choi, Ji-Hyuk",최지혁,Transition states of nanocrystal thin films during ligand-exchange processes for potential applications in wearable sensors,6,25502-25510,교신저자,valid,valid,valid
"Choi, Ji-Hyuk",최지혁,"Designing High-Performance CdSe Nanocrystal Thin-Film Transistors Based on Solution Process of Simultaneous Ligand Exchange, Trap Passivation, and Dop",10,9389-9399,교신저자,unknown--,unknown--,unknown--
"Choi, Ji-Hyuk",최지혁,Controllable Doping and Passivation of ZnO Thin Films by Surface Chemistry Modification to Design Low-cost and High-performance Thin Film Transistors,6,145289,교신저자,valid,valid,valid
"Choi, Ji-Hyuk",최지혁,Methods of forming colloidal nanocrystal-based thin film devices,10,10096734,공동,invalid (0.42),invalid,invalid
"Choi, Ji-Hyuk",최지혁,Electronic colloidal nanocrystal devices,4,10593755,책임,invalid (0.56),invalid,invalid
Jaeheon Kim,김재헌,Supporting Nickel To Replace Platinum on Zeolite Nanosponges for Catalytic Hydroisomerization of n-Dodecane,4,10545-10554,제1저자,valid,valid,valid
Jaeheon Kim,김재헌,Sulfonium-based organic structure-directing agents for microporous aluminophosphate synthesis,5,75-81,공동저자,valid,valid,valid
Jaeheon Kim,김재헌,Facile synthesis of mesoporous zeolite Y using seed gel and amphiphilic organosilane,5,109579,공동저자,valid,valid,valid
Jaeheon Kim,김재헌,Soft-to-hard consecutive templating one-pot route from metal nitrate/phenol resin/surfactant to mesoporous metal oxides with enhanced thermal stabilit,4,109767,교신저자,unknown--,unknown--,unknown--
Tae Woong Kim,김태웅,Self-Organized Superlattice and Phase Coexistence inside Thin Film Organometal Halide Perovskite,12,1705230,제1저자,valid,valid,valid
Tae Woong Kim,김태웅,Detailed Investigation of Evaporated Perovskite Absorbers with High Crystal Quality on Different Substrates,8,26293-26302,공동저자,valid,valid,valid
Tae Woong Kim,김태웅,Real-Time In Situ Observation of Microstructural Change in Organometal Halide Perovskite Induced by Thermal Degradation,6,1804039,제1저자,valid,valid,valid
