키,논문제목,총저자수,저자역할,게재면,val_title,val_pages,val_rank
20061600959B9092453E2B55725B45F10D8DF02B3,"Spectrally tunable infrared plasmonic F,Sn:In2O3 nanocrystal cubes",15,공동저자,14709,valid,valid,valid
20061600959B9092453E2B55725B45F10D8DF02B3,Enhanced Coloration Efficiency of Electrochromic Tungsten Oxide Nanorods by Site Selective Occupation of Sodium Ions,7,제1저자,2072-2079,valid,valid,valid
20061600959B9092453E2B55725B45F10D8DF02B3,Charge carrier concentration dependence of ultrafast plasmonic relaxation in conducting metal oxide nanocrystals,7,공동저자,5757-5763,valid,valid,valid
200616013F6AA685C9DEE6320F5A40F814C4A325F,Systemic Brain Delivery of Antisense Oligonucleotides across the Blood?Brain Barrier with a Glucose-Coated Polymeric Nanocarrier,11,제1저자,8173-8180,valid,valid,invalid
200616013F6AA685C9DEE6320F5A40F814C4A325F,Fine-Tuning of Hydrophobicity in Amphiphilic Polyaspartamide Derivatives for Rapid and Transient Expression of Messenger RNA Directed Toward Genome En,7,교신저자,1866-1875,valid,valid,valid
200616013F6AA685C9DEE6320F5A40F814C4A325F,Dually Stabilized Triblock Copolymer Micelles with Hydrophilic Shell and Hydrophobic Interlayer for Systemic Antisense Oligonucleotide Delivery to Sol,11,제1저자,5770-5780,valid,valid,invalid
200616013F6AA685C9DEE6320F5A40F814C4A325F,In vivo rendezvous of small nucleic acid drugs with charge-matched block catiomers to target cancers,25,제1저자,1894,valid,valid,invalid
200616013F6AA685C9DEE6320F5A40F814C4A325F,Small Delivery Vehicles of siRNA for Enhanced Cancer Targeting,4,제1저자,2377-2390,valid,valid,valid
200616013F6AA685C9DEE6320F5A40F814C4A325F,Tuned Density of Anti-Tissue Factor Antibody Fragment onto siRNA- Loaded Polyion Complex Micelles for Optimizing Targetability into Pancreatic Cancer,11,제1저자,2320-2329,valid,valid,invalid
200616013F6AA685C9DEE6320F5A40F814C4A325F,Self-Assembly of siRNA/PEG?b?Catiomer at Integer Molar Ratio into 100 nm-Sized Vesicular Polyion Complexes (siRNAsomes) for RNAi and Codelivery of Car,11,공동저자,3699-3709,valid,valid,valid
200616013F6AA685C9DEE6320F5A40F814C4A325F,Glucose-linked sub-50-nm unimer polyion complex-assembled gold T nanoparticles for targeted siRNA delivery to glucose transporter 1- overexpressing br,16,공동저자,268-277,valid,valid,valid
200616013F6AA685C9DEE6320F5A40F814C4A325F,Nanoparticle delivery of Cas9 ribonucleoprotein and donor DNA in vivo induces homology-directed DNA repair,22,공동저자,889-901,valid,valid,valid
200616013F6AA685C9DEE6320F5A40F814C4A325F,Virus-Mimicking Chimaeric Polymersomes Boost Targeted Cancer siRNA Therapy In Vivo,8,공동저자,1703285,valid,valid,valid
20061602A5B567B6D4BE17356852B07C488F16633,DNA-SWCNT Biosensors allow real-time monitoring of therapeutic responses in Pancreatic Ductal Adenocarcinoma,9,공동저자,4515-4523,valid,valid,valid
20061602A5B567B6D4BE17356852B07C488F16633,The bioelectronic nose and tongue using olfactory and taste receptors: Analytical tools for food quality and safety assessment,2,제1저자,371-379,valid,valid,valid
20061602A5B567B6D4BE17356852B07C488F16633,"A triangle study of human, instrument and bioelectronic nose for non-destructive sensing of seafood freshness",8,제1저자,547,valid,valid,invalid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Mechanical response of common millet (Panicum miliaceum) seeds under quasi-static compression: experiments and modeling,7,공동저자,116-124,valid,invalid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,A crack-free anti-corrosive coating strategy for magnesium implants under deformation,8,공동저자,116-124,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Incorporation of calcium sulfate dihydrate into hydroxyapatite microspheres to improve the release of bone morphogenetic protein-2 and accelerate bone,6,공동저자,846-856,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Enhanced mechanical stability of PTFE coating on nano-roughened NiTi for biomedical applications,5,공동저자,2020-12-15 00:00:00,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Effect of HF/HNO3-treatment on the porous structure and cell penetrability of titanium (Ti) scaffold,6,교신저자,65-73,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Zirconia-Polyurethane aneurysm clip,12,교신저자,14-23,valid,valid,invalid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Antibacterial and bioactive properties of stabilized silver on titanium with a nanostructured surface for dental applications,7,교신저자,232-240,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Strong and biocompatible poly(lactic acid) membrane enhanced by Ti3C2Tz (Mxene) nanosheets for guided bone regeneration,9,공동저자,114-117,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Facile strategy involving low-temperature chemical cross-linking to enhance the physical and biological properties of hyaluronic acid hydrogel,8,교신저자,545-553,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Biomimetic porous Mg with tunable mechanical properties and biodegradation rates for bone regeneration,7,공동저자,453-467,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,"Plant seed-inspired cell protection, dormancy, and growth for large-scale biofabrication",7,공동저자,25008,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Enhanced osseointegration ability of poly-lactic acid via tantalum sputtering-based plasma immersion ion implantation,9,교신저자,10492-10504,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Extremely Versatile Deformability beyond Materiality: A New Material Platform through Simple Cutting for Rugged Batteries,10,공동저자,1900206,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,In-vitro blood and vascular compatibility of sirolimus-eluting organic/inorganic hybrid stent coatings,6,제1저자,405-413,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Reduced fibrous capsule formation at nano-engineered silicone surface via tantalum ion implantation,9,교신저자,2907-2919,valid,valid,invalid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,"Fabrication of strong, bioactive vascular grafts with PCL/collagen and PCL/silica bilayers for small-diameter vascular applications",7,교신저자,108079,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Enhanced Bioactivity of Titanium-Coated Polyetheretherketone Implants Created by a High-Temperature 3D Printing Process,6,공동저자,45014,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Ta ion implanted nanoridge-platform for enhanced vascular responses,9,제1저자,119461,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Fabrication of poly(lactic acid)/Ti composite scaffolds with enhanced mechanical properties and biocompatibility via fused filament fabrication (FFF)-,7,공동저자,100883,valid,valid,valid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Improved cell viability for large?scale biofabrication with photo-crosslinkable hydrogel systems through dual?photoinitiator approach,6,제1저자,450-461,valid,valid,invalid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,Enhanced endothelial cell activity induced by incorporation of nano-thick tantalum layer in artificial vascular grafts,12,교신저자,144801,valid,valid,invalid
20061602AD5D94ECFF3B0052DB4C28750B1FD6EB0,3D Freeform Printing of Nanocomposite Hydrogels through in situ Precipitation in Reactive Viscous Fluid,10,공동저자,258,valid,invalid,valid
20061602EE3EA7D2547FDF46BDFB5A5F1AA2BCBD1,Machine Learning Enabled Tailor-Made Design of Application-Specific Metal Organic Frameworks,3,교신저자,12734,valid,invalid,valid
20061602EE3EA7D2547FDF46BDFB5A5F1AA2BCBD1,High-throughput screening approach for nanoporous materials genome using topological data analysis: application to zeolites,6,제1저자,"14, 4427",valid,invalid,valid
20061602EE3EA7D2547FDF46BDFB5A5F1AA2BCBD1,Tuning Metal-Organic Framework Nanocrystal Shape through Facet-Dependent Coordination,9,교신저자,"20, 1774",valid,invalid,invalid
20061602EE3EA7D2547FDF46BDFB5A5F1AA2BCBD1,A Computational Study to Design Zeolite-Templated Carbon Materials with High Performance for CO2/N2 Separation,4,교신저자,"295, 109947",valid,invalid,valid
20061602EE3EA7D2547FDF46BDFB5A5F1AA2BCBD1,General Way to Construct Micro- and Mesoporous Metal-Organic Framework-Based Porous Liquids,7,교신저자,"141, 19708",valid,valid,valid
20061602EE3EA7D2547FDF46BDFB5A5F1AA2BCBD1,Machine Learning Prediction of Structural and Performance Properties of Nanoporous Materials,5,교신저자,"59, 4636",valid,invalid,valid
