Title
"Acharya S, Adamová D, Adhya SP, Adler A, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Agrawal N, Ahammed Z, Ahmad S. Event-hape and multiplicity dependence of freeze-out radii in pp colliion at $$\qrt {} $$= 7 TeV. Journal of High Energy Physics. 2019 Sep 1;2019(9):108."
"Adamova D, Adhya SP, Adler A, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Agrawal N, Ahammed Z, Ahmad S, Ahn SU. Inclusive J/$\psi $ production at mid-rapidity in pp collisions at $\sqrt {s} $= 5.02 TeV."
"ALICE C, Busch O, Chujo T, Miake Y. (3)(Lambda) H and (3)((Lambda) over-bar)(H) over-bar production in Pb-Pb collisions at root s (NN)= 2.76 TeV. Physics letters. B. 2016 Mar(754):360-72."
"Acharya S, Adamova D, Adhya SP, Adler A, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Agrawal N, Ahammed Z, Ahmad S. Charged-particle production as a function of multiplicity and transverse spherocity in pp collisions at $$\sqrt {\mathbf {s}}=\mathbf {5.02} $$ and 13 TeV. The European Physical Journal C. 2019 Oct 1;79(10):857."
"Acharya S, Adamová D, Adhya SP, Adler A, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Agrawal N, Ahammed Z, Ahmad S. Measurement of ϒ (1 S) Elliptic Flow at Forward Rapidity in Pb-Pb Collisions at s N N= 5.02 TeV. Physical review letters. 2019 Nov 6;123(19):192301."
"Acharya S, Adamova D, Adhya SP, Adler A, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Agrawal N, Ahammed Z, Ahmad S. Measurement of the inclusive isolated photon production cross section in $$\text {p}\text {p} $$ collisions at $$\sqrt {s}= 7$$ s= 7 TeV. The European Physical Journal C. 2019 Nov 1;79(11):896."
"Acharya S, Adamová D, Adhya SP, Adler A, Adolfsson J, Aggarwal MM, Rinella GA, Agnello M, Agrawal N, Ahammed Z, Ahmad S. Measurement of charged jet cross section in p p collisions at s= 5.02 TeV. Physical Review D. 2019 Nov 13;100(9):092004."
"Francis E, Kim JW, Anu AS, Varughese KT, Kim J, Thomas S. Morphology correlated investigation on mechanical and dielectric properties of plasticized poly vinyl chloride/MWCNT nanocomposites. Functional Composites and Structures. 2019 Aug 27;1(3):035004."
"Rossi F, Oliva M, Straccia G, Fratta M, Ugga L, Tedeschi E, Melone MA. A case of Foix–Chavany–Marie syndrome due to bilateral corona radiata infarcts. Neurology and Clinical Neuroscience. 2019 Sep;7(5):279-81."
"Joutsa J, Shih LC, Fox MD. Mapping holmes tremor circuit using the human brain connectome. Annals of neurology. 2019 Dec;86(6):812-20."
"Khedr EM, Mohamed KO, Soliman RK, Hassan AM, Rothwell JC. The Effect of High-Frequency Repetitive Transcranial Magnetic Stimulation on Advancing Parkinson’s Disease With Dysphagia: Double Blind Randomized Clinical Trial. Neurorehabilitation and neural repair. 2019 Jun;33(6):442-52."
"Yoshii F, Sugiyama H, Kodama K, Irino T. Foix-Chavany-Marie Syndrome due to Unilateral Anterior Opercular Damage with Contralateral Infarction of Corona Radiata. Case Reports in Neurology. 2019;11(3):319-24."
"Joutsa J, Shih LC, Fox MD. Mapping holmes tremor circuit using the human brain connectome. Annals of neurology. 2019 Dec;86(6):812-20."
"김동억, 이용석, 박성호, 박경일, 조중양, 김삼수, 남현우, 이광우, 노재규. Bilateral Anterior Opercular Syndrome 1 예: Foix-Chavany-Marie Syndrome. 대한신경과학회지. 2000;18(4):450-3."
"Youngwoon Kim, Dongri Kim, and Yongwoo Hwang. Measures to improve the harmfulness standard among domestic laundry detergent environmental mark standards. Environmental Management Research.;11:41-57."
"Seol EM, Kwon KS, Kim JG, Kim JT, Kim J, Moon SM, Park DJ, Park JH, Park JH, Park JY, Bae JM. Nutritional therapy related complications in hospitalized adult patients: a Korean multicenter trial. Journal of the Korean Society for Parenteral and Enteral Nutrition. 2019 Jun 30;11(1):12-22."
"김만수, 왕치현, 강수환. 영화< 설국열차> 와 이분법 너머의 상상력-3 의 법칙과 놀이의 힘. 한국학연구. 2019 May;53:165-89."
"Yin X, Li Y, Shin BS. Automatic Segmentation of Human Spine with Deep Neural Network. InAdvances in Computer Science and Ubiquitous Computing 2018 Dec 17 (pp. 202-207). Springer, Singapore."
"Lee DH, Lee Y, Shin BS. Mid-Level Feature Extractor for Transfer Learning to Small-Scale Dataset of Medical Images. InAdvances in Computer Science and Ubiquitous Computing 2018 Dec 17 (pp. 8-13). Springer, Singapore."
深瀬忠一. 韓国・フィリピン・中国憲法における平和・人権条項比較の第一次作業-東アジア・太平洋地域人権憲章作成準備の一資料として. 北大法学論集. 1989 Oct 31;39(5-6 下):607-57.
"Park MH, Min GS. New records of one marine and two soil ciliates (Ciliophora: Intramacronucleata) from Korea. Journal of Species Research. 2019;8(1):113-5."
"Lee SM, Lee D, Kim YS. The quality management ecosystem for predictive maintenance in the Industry 4.0 era. International Journal of Quality Innovation. 2019 Dec 1;5(1):4."
"Chen CF, Sewell G. Strategies for technological development in South Korea and Taiwan: the case of semiconductors. Research Policy. 1996 Aug 1;25(5):759-83."
"이수학, 윤병동. Industry 4.0 과 고장예지 및 건전성 관리 기술 (PHM) 의 방향. 소음· 진동. 2015 Feb;25(1):22-8."
"Zhang N, Choi Y, Wang W. Does energy research funding work? Evidence from the Natural Science Foundation of China using TEI@ I method. Technological Forecasting and Social Change. 2019 Jul 1;144:369-80."
"Choi Y, Qi C. Is South Korea’s Emission Trading Scheme Effective? An Analysis Based on the Marginal Abatement Cost of Coal-Fueled Power Plants. Sustainability. 2019 Jan;11(9):2504."
"Song M, Zhao X, Choi Y. Technical Efficiency of Chinese Forestry and Its Total Factor Productivity for the Adaption of the Climate Change. Journal of Forest Economics. 2020 Apr 29;35(2-3):149-75."
"He Y, Xie H, Choi Y, Chen Q. Identification of Conservation Area Priority in Forest Habitat Quality and Protection Cost: A Case Study from Xingguo County of China. Journal of Forest Economics. 2020 Mar 29;35(2-3):129-47."
"Zhang SG. Constructing ‘Peaceful Coexistence’: China's Diplomacy toward the Geneva and Bandung Conferences, 1954–55. Cold War History. 2007 Nov 1;7(4):509-28."
"Park SH, Lee NH, Kwon YS. Antrochoanal Polyp with Severe Headache in a Child. Annals of Child Neurology. 2019 Jun 20;27(2):57-9."
"한복순, 권영환, 김수근, 최은희, 장정순, 신윤영, 하윤. 항공종사자 건강관리 제도의 발전방안. 항공우주의학회지. 2019 Aug;29(2):67-71."
