,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,
133,Antimelanogenesis and skin-protective activities of Panax ginseng calyx ethanol extract,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=84&SID=F56469593WJxmK31yiE&page=1&doc=1,"Cho JY, Son YJ","KOREAN SOC GINSENG, 1807 SEOCHO WORLD OFFICETEL, 1355-3 SEOCHO-DONG, SEOCHO-GU, SEOUL 137-862, SOUTH KOREA","Lee Jeong-Ook, Kim Eunji, Kim Ji Hye, Hong Yo Han, Kim Han Gyung, Jeong Deok, Kim Juewon, Kim Su Hwan, Park Chanwoong, Seo Dae Bang",389-399,Article,JOURNAL OF GINSENG RESEARCH,
134,"Efficacy and safety of Panax ginseng berry extract on glycemic control: A 12-wk randomized, double-blind, and placebo-controlled clinical trial",http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=87&SID=F56469593WJxmK31yiE&page=1&doc=1,Oh SW,"KOREAN SOC GINSENG, 1807 SEOCHO WORLD OFFICETEL, 1355-3 SEOCHO-DONG, SEOCHO-GU, SEOUL 137-862, SOUTH KOREA","Choi Han Seok, Kim Sunmi, Kim Min Jung, Kim Myung-Sunny, Kim Juewon, Park Chan-Woong, Seo Daebang, Shin Song Seok, Oh Sang Woo",90-97,Article,JOURNAL OF GINSENG RESEARCH,
135,Effects of Korean ginseng berry on skin antipigmentation and antiaging via FoxO3a activation,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=90&SID=F56469593WJxmK31yiE&page=1&doc=1,Shin SS,"KOREAN SOC GINSENG, 1807 SEOCHO WORLD OFFICETEL, 1355-3 SEOCHO-DONG, SEOCHO-GU, SEOUL 137-862, SOUTH KOREA","Kim Juewon, Cho Si Young, Kim Su Hwan, Cho Donghyun, Kim Sunmi, Park Chan-Woong, Shimizu Takahiko, Cho Jae Youl, Seo Dae Bang, Shin Song Seok",277-283,Article,JOURNAL OF GINSENG RESEARCH,
136,Small Molecule from Natural Phytochemical Mimics Dietary Restriction by Modulating FoxO3a and Metabolic Reprogramming,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=93&SID=F56469593WJxmK31yiE&page=1&doc=1,"Cho SY, Suh Y, Min KJ","WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Kim Juewon, Lee Shin-Hae, Cho Miook, Lee Jee-Young, Choi Dong-Hwa, Lee Hye-Yeon, Cho Siyoung, Min Kyung-Jin, Suh Yousin",1900248,Article, Early Access,ADVANCED BIOSYSTEMS
137,0,0,0,0,0,0,0,0,
138,0,0,0,0,0,0,0,0,
139,0,0,0,0,0,0,0,0,
140,0,0,0,0,0,0,0,0,
141,Cancer-Cell Imaging Using Copper-Doped Zeolite Imidazole Framework-8 Nanocrystals Exhibiting Oxidative Catalytic Activity,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=99&SID=F56469593WJxmK31yiE&page=1&doc=1,Lee SY,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Keum Changjoon, Park Sangwoo, Lee Sang-Yup",2641-2648,Article,CHEMISTRY-AN ASIAN JOURNAL,
142,Label-Free Tomographic Imaging of Lipid Droplets in Foam Cells for Machine-Learning-Assisted Therapeutic Evaluation of Targeted Nanodrugs,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=102&SID=F56469593WJxmK31yiE&page=1&doc=1,"Lee S, Park K","AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Park Sangwoo, Ahn Jae Won, Jo YoungJu, Kang Ha-Young, Kim Hyun Jung, Cheon Yeongmi, Kim Jin Won, Park YongKeun, Lee Seongsoo, Park Kyeongsoon",1856-1865,Article,ACS NANO,
143,A hydrazide organogelator for fluoride sensing with hyperchromicity and gel-to-sol transition,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=105&SID=F56469593WJxmK31yiE&page=1&doc=1,"Lee YJ, Lee SY","ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","Park Sangwoo, Ju Jeewon, Lee Young Ju, Lee Sang-Yup",14243-14248,Article,RSC ADVANCES,
144,0,0,0,0,0,0,0,0,
145,0,0,0,0,0,0,0,0,
146,0,0,0,0,0,0,0,0,
147,0,0,0,0,0,0,0,0,
148,0,0,0,0,0,0,0,0,
149,3D-printed biomimetic-villus structure with maximized surface area for triboelectric nanogenerator and dust filter,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=5&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Kim SW,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Yoon Hong-Joon, Kim Dong-Hoon, Seung Wanchul, Khan Usman, Kim Tae Yun, Kim Taekyung, Kim Sang-Woo",UNSP 103857,Article,NANO ENERGY,
150,Covalent-bonding-induced strong phonon scattering in the atomically thin WSe2 layer,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=8&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Lee JS,"NATURE PUBLISHING GROUP, MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Choi Young-Gwan, Jeong Do-Gyeom, Ju H. I., Roh C. J., Kim Geonhwa, Mun Bongjin Simon, Kim Tae Yun, Kim Sang-Woo, Lee J. S.",7612,Article,SCIENTIFIC REPORTS,
151,Water droplet-driven triboelectric nanogenerator with superhydrophobic surfaces,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=11&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Kim SW,"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Lee Jeong Hwan, Kim SeongMin, Kim Tae Yun, Khan Usman, Kim Sang-Woo",579-584,Article, Proceedings Paper,NANO ENERGY
152,Self-Powered Motion-Driven Triboelectric Electroluminescence Textile System,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=14&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Kim SW,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Park Hye-Jeong, Kim SeongMin, Lee Jeong Hwan, Kim Hyoung Taek, Seung Wanchul, Son Youngin, Kim Tae Yun, Khan Usman, Park Nae-Man, Kim Sang-Woo",5200-5207,Article,ACS APPLIED MATERIALS & INTERFACES,
153,Cylindrical Free-Standing Mode Triboelectric Generator for Suspension System in Vehicle,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=17&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Kim SW,"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Kang Minki, Kim Tae Yun, Seung Wanchul, Han Jae-Hee, Kim Sang-Woo",17,Article,MICROMACHINES,
154,Application of ferroelectric materials for improving output power of energy harvesters,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=20&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Kim SW,"SPRINGEROPEN, CAMPUS, 4 CRINAN ST, LONDON, N1 9XW, ENGLAND","Kim Tae Yun, Kim Sung Kyun, Kim Sang-Woo",UNSP 30,Review,NANO CONVERGENCE,
155,0,0,0,0,0,0,0,0,
156,Functionalization of carbon fiber tows with ZnO nanorods for stress sensor integration in smart composite materials,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=24&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Zappettini A,"IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND","Calestani D., Culiolo M., Villani M., Delmonte D., Solzi M., Kim Tae-Yun, Kim Sang-Woo, Marchini L., Zappettini A.",335501,Article,NANOTECHNOLOGY,
157,High-performance piezoelectric nanogenerators based on chemically-reinforced composites,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=27&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,"Lee SY, Choi Y","ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","Lee Eun Jung, Kim Tae Yun, Kim Sang-Woo, Jeong Sunho, Choi Youngmin, Lee Su Yeon",1425-1430,Article,ENERGY & ENVIRONMENTAL SCIENCE,
158,Reliable Piezoelectricity in Bilayer WSe2 for Piezoelectric Nanogenerators,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=30&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Kim SW,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Lee Ju-Hyuck, Park Jae Young, Cho Eun Bi, Kim Tae Yun, Han Sang A., Kim Tae-Ho, Liu Yanan, Kim Sung Kyun, Roh Chang Jae, Yoon Hong-Joon",1606667,Article,ADVANCED MATERIALS,
159,Rewritable ghost floating gates by tunnelling triboelectrification for two-dimensional electronics,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=33&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,"Falconi C, Kim SW","NATURE PUBLISHING GROUP, MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Kim Seongsu, Kim Tae Yun, Lee Kang Hyuck, Kim Tae-Ho, Cimini Francesco Arturo, Kim Sung Kyun, Hinchet Ronan, Kim Sang-Woo, Falconi Christian",15891,Article,NATURE COMMUNICATIONS,
160,High-Performance Triboelectric Nanogenerators Based on Solid Polymer Electrolytes with Asymmetric Pairing of Ions,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=36&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Kim SW,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Ryu Hanjun, Lee Ju-Hyuck, Kim Tae-Yun, Khan Usman, Lee Jeong Hwan, Kwak Sung Soo, Yoon Hong-Joon, Kim Sang-Woo",1700289,Article,ADVANCED ENERGY MATERIALS,
161,Employment of gold-coated silver nanowires as transparent conductive electrode for organic light emitting diodes,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=39&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,"Lee HJ, Cho SM","IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND","Kim Sunho, Kim Bongsung, Im Inseob, Kim Dongjae, Lee Haeseong, Nam Jaewook, Chung Ho Kyoon, Lee Hoo-Jeong, Cho Sung Min",345201,Article,NANOTECHNOLOGY,
162,Healing of Microdefects in SSZ-13 Membranes via Filling with Dye Molecules and Its Effect on Dry and Wet CO2 Separations,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=42&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,"Choi J, Yip ACK","AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Hong Sungwon, Kim Dongjae, Jeong Yanghwan, Kim Eunjoo, Jung Jae Chil, Choi Nakwon, Nam Jaewook, Yip Alex C. K., Choi Jungkyu",3346-3358,Article,CHEMISTRY OF MATERIALS,
163,Systematic analysis for electrical conductivity of network of conducting rods by Kirchhoff's laws and block matrices,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=45&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Nam J,"AMER INST PHYSICS, 1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA","Kim Dongjae, Nam Jaewook",215104,Article,JOURNAL OF APPLIED PHYSICS,
164,Quantitative elucidation of the elusive role of defects in polycrystalline MFI zeolite membranes on xylene separation performance,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=48&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,"Choi J, Nam J","ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Hong Sungwon, Kim Dongjae, Richter Hannes, Moon Jong-Ho, Choi Nakwon, Nam Jaewook, Choi Jungkyu",91-103,Article,JOURNAL OF MEMBRANE SCIENCE,
165,Chabazite-Type Zeolite Membranes for Effective CO2 Separation: The Role of Hydrophobicity and Defect Structure,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=51&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Choi J,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Lee Minseong, Hong Sungwon, Kim Dongjae, Kim Eunjoo, Lim Kyunghwan, Jung Jae Chil, Richter Hannes, Moon Jong-Ho, Choi Nakwon, Nam Jaewook",3946-3960,Article,ACS APPLIED MATERIALS & INTERFACES,
166,Microstructural control of a SSZ-13 zeolite film via rapid thermal processing,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=54&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Choi J,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Kim Jinseong, Jang Eunhee, Hong Sungwon, Kim Dongjae, Kim Eunjoo, Ricther Hannes, Simon Adrian, Choi Nakwon, Korelskiy Danil, Fouladvand Shahpar",UNSP 117342,Article,JOURNAL OF MEMBRANE SCIENCE,
167,"Dual-colour generation from layered colloidal photonic crystals harnessing ""core hatching"" in double emulsions",http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=56&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Yoo PJ,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","Lee Jun Hyuk, Choi Gwan H., Park Kyung Jin, Kim Dongjae, Park Juhyun, Lee Seungwoo, Yi Hyunmin, Yoo Pil J.",6924-6931,Article,JOURNAL OF MATERIALS CHEMISTRY C,
168,0,0,0,0,0,0,0,0,
169,0,0,0,0,0,0,0,0,
170,Multifunctional role of reduced graphene oxide binder for high performance supercapacitor with commercial-level mass loading,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=61&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Choi JH,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Choi Ji-Hyuk, Kim Yuna, Kim Byung-su",227917,Article,JOURNAL OF POWER SOURCES,
171,Controllable doping and passivation of ZnO thin films by surface chemistry modification to design low-cost and high-performance thin film transistors,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=64&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,"Oh SJ, Choi JH","ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Kim Donggyu, Woo Ho Kun, Lee Yong Min, Kim Yuna, Choi Ji-Hyuk, Oh Soong Ju",145289,Article,APPLIED SURFACE SCIENCE,
172,0,0,0,0,0,0,0,0,
173,Hybrid crumpled graphene supported Fe-Co binary oxides nanoparticles for aqueous asymmetric supercapacitors,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=68&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,Jang HD,"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Lee Chongmin, Kim Sun Kyung, Choi Ji-Hyuk, Chang Hankwon, Jang Hee Dong",571-575,Article,APPLIED SURFACE SCIENCE,
174,Transition States of Nanocrystal Thin Films during Ligand-Exchange Processes for Potential Applications in Wearable Sensors,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=71&SID=C5ZsyvW1pwSWl8MVTAl&page=1&doc=1,"Oh SJ, Choi JH","AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Lee Seung-Wook, Joh Hyungmok, Seong Mingi, Lee Woo Seok, Choi Ji-Hyuk, Oh Soong Ju",25502-25510,Article,ACS APPLIED MATERIALS & INTERFACES,
175,High capacitance and energy density supercapacitor based on biomass-derived activated carbons with reduced graphene oxide binder,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=1&SID=E15778b89XrkrRgWMa4&page=1&doc=1,Jang HD,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Choi Ji-Hyuk, Lee Chongmin, Cho Sungwhan, Moon Geon Dae, Kim Byung-su, Chang Hankwon, Jang Hee Dong",16-24,Article,CARBON,
176,Electrochemical performances of iron-cobalt oxides nanoparticles loaded crumpled graphene for supercapacitor,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=4&SID=E15778b89XrkrRgWMa4&page=1&doc=1,Jang HD,"ELSEVIER SCIENCE SA, PO BOX 564, 1001 LAUSANNE, SWITZERLAND","Lee Chongmin, Kim Sun Kyung, Choi Ji-Hyuk, Chang Hankwon, Jang Hee Dong",2030-2037,Article,JOURNAL OF ALLOYS AND COMPOUNDS,
177,"Sexually dimorphic behavior, neuronal activity, and gene expression in Chd8-mutant mice",http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=7&SID=E15778b89XrkrRgWMa4&page=1&doc=1,Kim E,"NATURE PUBLISHING GROUP, 75 VARICK ST, 9TH FLR, NEW YORK, NY 10013-1917 USA","Jung Hwajin, Park Haram, Choi Yeonsoo, Kang Hyojin, Lee Eunee, Kweon Hanseul, Roh Junyeop Daniel, Ellegood Jacob, Choi Woochul, Kang Jaeseung",1218-+,Article,NATURE NEUROSCIENCE,
178,Early Correction of N-Methyl-D-Aspartate Receptor Function Improves Autistic-like Social Behaviors in Adult Shank2(-/-) Mice,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=10&SID=E15778b89XrkrRgWMa4&page=1&doc=1,Kim E,"ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Chung Changuk, Ha Seungmin, Kang Hyojin, Lee Jiseok, Urn Seung Min, Yan Haidun, Yoo Ye-Eun, Yoo Taesun, Jung Hwajin, Lee Dongwon",534-543,Article,BIOLOGICAL PSYCHIATRY,
179,0,0,0,0,0,0,0,0,
180,0,0,0,0,0,0,0,0,
181,NGL-1/LRRC4C-Mutant Mice Display Hyperactivity and Anxiolytic-Like Behavior Associated With Widespread Suppression of Neuronal Activity,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=15&SID=E15778b89XrkrRgWMa4&page=1&doc=1,Kim E,"FRONTIERS MEDIA SA, AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND","Choi Yeonsoo, Park Haram, Kang Suwon, Jung Hwajin, Kweon Hanseul, Kim Seoyeong, Choi Ilsong, Lee Soo Yeon, Choi Ye-Eun, Lee Seung-Hee",250,Article,FRONTIERS IN MOLECULAR NEUROSCIENCE,
182,0,0,0,0,0,0,0,0,
183,Upgrading of petroleum vacuum residue using a hydrogen-donor solvent with acid-treated carbon,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=19&SID=E15778b89XrkrRgWMa4&page=1&doc=1,Lee CH,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Kim Doo-Wook, Jeon Pil Rip, Moon Seunghyun, Lee Chang-Ha",234-242,Article,ENERGY CONVERSION AND MANAGEMENT,
184,Dissolution and reaction in a CO2-brine-clay mineral particle system under geological CO2 sequestration from subcritical to supercritical conditions,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=22&SID=E15778b89XrkrRgWMa4&page=1&doc=1,Lee CH,"ELSEVIER SCIENCE SA, PO BOX 564, 1001 LAUSANNE, SWITZERLAND","Jeon Pil Rip, Kim Doo-Wook, Lee Chang-Ha",1-11,Article,CHEMICAL ENGINEERING JOURNAL,
185,Continuous bubble reactor using carbon dioxide and its mixtures for ballast water treatment,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=25&SID=E15778b89XrkrRgWMa4&page=1&doc=1,Lee CH,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Baek Jun-Tae, Hong Jae-Hoon, Tayyab Muhammad, Kim Doo-Wook, Jeon Pil Rip, Lee Chang-Ha",316-326,Article,WATER RESEARCH,
186,Effect of surfactants on CO2 solubility and reaction in CO2-brine-clay mineral systems during CO2-enhanced fossil fuel recovery,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=28&SID=E15778b89XrkrRgWMa4&page=1&doc=1,Lee CH,"ELSEVIER SCIENCE SA, PO BOX 564, 1001 LAUSANNE, SWITZERLAND","Jeon Pil Rip, Lee Chang-Ha",123014,Article,CHEMICAL ENGINEERING JOURNAL,
187,0,0,0,0,0,0,0,0,
188,0,0,0,0,0,0,0,0,
189,0,0,0,0,0,0,0,0,
190,0,0,0,0,0,0,0,0,
191,0,0,0,0,0,0,0,0,
192,0,0,0,0,0,0,0,0,
193,0,0,0,0,0,0,0,0,
194,0,0,0,0,0,0,0,0,
195,0,0,0,0,0,0,0,0,
196,Elucidating the Mechanism Involved in the Performance Improvement of Lithium-Ion Transition Metal Oxide Battery by Conducting Polymer,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=2&SID=C2EeH7HCUSMRWCslaUq&page=1&doc=1,Qi YB,"WILEY, 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Kim Taehoon, Ono Luis K., Qi Yabing",1801785,Article,ADVANCED MATERIALS INTERFACES,
197,Stacked-graphene layers as engineered solid-electrolyte interphase (SEI) grown by chemical vapour deposition for lithium-ion batteries,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=5&SID=C2EeH7HCUSMRWCslaUq&page=1&doc=1,Qi YB,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Kim Taehoon, Leyden Matthew R., Ono Luis K., Qi Yabing",678-690,Article,CARBON,
198,"Lithium-ion batteries: outlook on present, future, and hybridized technologies",http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=8&SID=C2EeH7HCUSMRWCslaUq&page=1&doc=1,Qi YB,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","Kim Taehoon, Song Wentao, Son Dae-Yong, Ono Luis K., Qi Yabing",2942-2964,Review,JOURNAL OF MATERIALS CHEMISTRY A,
199,Negligible-Pb-Waste and Upscalable Perovskite Deposition Technology for High-Operational-Stability Perovskite Solar Modules,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=11&SID=C2EeH7HCUSMRWCslaUq&page=1&doc=1,Qi YB,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Jiang Yan, Remeika Mikas, Hu Zhanhao, Juarez-Perez Emilio J., Qiu Longbin, Liu Zonghao, Kim Taehoon, Ono Luis K., Son Dae-Yong, Hawash Zafer",1803047,Article,ADVANCED ENERGY MATERIALS,
200,0,0,0,0,0,0,0,0,
201,"""Heat Wave"" of Metal Halide Perovskite Solar Cells Continues in Phoenix",http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=15&SID=C2EeH7HCUSMRWCslaUq&page=1&doc=1,"Qi YB, Liu SF","AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Ono Luis K., Kim Taehoon, Jiang Yan, Qi Yabing, Liu Shengzhong Frank",1898-+,Editorial Material,ACS ENERGY LETTERS,
202,Gas-solid reaction based over one-micrometer thick stable perovskite films for efficient solar cells and modules,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=18&SID=C2EeH7HCUSMRWCslaUq&page=1&doc=1,Qi YB,"NATURE PUBLISHING GROUP, MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Liu Zonghao, Qiu Longbin, Juarez-Perez Emilio J., Hawash Zafer, Kim Taehoon, Jiang Yan, Wu Zhifang, Raga Sonia R., Ono Luis K., Liu Shengzhong ",3880,Article,NATURE COMMUNICATIONS,
203,0,0,0,0,0,0,0,0,
204,0,0,0,0,0,0,0,0,
205,A fluorescent supramolecular biosensor for bacterial detection via binding-induced changes in coiled-coil molecular assembly,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=23&SID=C2EeH7HCUSMRWCslaUq&page=1&doc=1,Lim YB,"ELSEVIER SCIENCE SA, PO BOX 564, 1001 LAUSANNE, SWITZERLAND","Jeong Woo-jin, Choi Se-Hwan, Lee Hye-soo, Lim Yong-beom",93-99,Article,SENSORS AND ACTUATORS B-CHEMICAL,
206,0,0,0,0,0,0,0,0,
207,Modular Self-Assembling Peptide Platform with a Tunable Thermoresponsiveness via a Single Amino Acid Substitution,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=27&SID=C2EeH7HCUSMRWCslaUq&page=1&doc=1,Lim YB,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Jeong Woo-jin, Kwon Soo Hyun, Lim Yong-beom",1803114,Article,ADVANCED FUNCTIONAL MATERIALS,
208,3D Bioprinting of Carbohydrazide-Modified Gelatin into Microparticle-Suspended Oxidized Alginate for the Fabrication of Complex-Shaped Tissue Constructs,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=30&SID=C2EeH7HCUSMRWCslaUq&page=1&doc=1,Ozbolat IT,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Heo Dong Nyoung, Alioglu Mecit Altan, Wu Yang, Ozbolat Veli, Ayan Bugra, Dey Madhuri, Kang Youngnam, Ozbolat Ibrahim T.",20295-20306,Article,ACS APPLIED MATERIALS & INTERFACES,
209,Aspiration-assisted bioprinting for precise positioning of biologics,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=32&SID=C2EeH7HCUSMRWCslaUq&page=1&doc=1,Ozbolat IT,"AMER ASSOC ADVANCEMENT SCIENCE, 1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA","Ayan Bugra, Heo Dong Nyoung, Zhang Zhifeng, Dey Madhuri, Povilianskas Adomas, Drapaca Corina, Ozbolat Ibrahim T.",eaaw5111,Article,SCIENCE ADVANCES,
