,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,
13,Interpretation and diagnosis of fouling progress in membrane bioreactor plants using a periodic pattern recognition method,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=34&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Yoo C,"KOREAN INSTITUTE CHEMICAL ENGINEERS, F.5, 119, ANAM-RO, SEONGBUK-GU, SEOUL 136-075, SOUTH KOREA","Nam KiJeon, Kim MinJeong, Lee Seungchul, Hwangbo Soonho, Yoo ChangKyoo",2966-2977,Article,KOREAN JOURNAL OF CHEMICAL ENGINEERING,
14,0,0,0,0,0,0,0,0,
15,0,0,0,0,0,0,0,0,
16,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,0,
19,Autophagy Caught in the Act: A Supramolecular FRET Pair Based on an Ultrastable Synthetic Host-Guest Complex Visualizes Autophagosome-Lysosome Fusion,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=42&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,Kim K,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Li Meng, Lee Ara, Kim Kyung Lock, Murray James, Shrinidhi Annadka, Sung Gihyun, Park Kyeng Min, Kim Kimoon",2120-2125,Article,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,
20,Mono-allyloxylated Cucurbit[7]uril Acts as an Unconventional Amphiphile To Form Light-Responsive Vesicles,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=45&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,"Kim K, Park KM","WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Park Kyeng Min, Baek Kangkyun, Ko Young Ho, Shrinidhi Annadka, Murray James, Jang Won Hyuk, Kim Ki Hean, Lee Jun-Seok, Yoo Jejoong, Kim Sungwan",3132-3136,Article,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,
21,Supramolecular latching system based on ultrastable synthetic binding pairs as versatile tools for protein imaging,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=48&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,"Kim K, Park KM","NATURE PUBLISHING GROUP, MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Kim Kyung Lock, Sung Gihyun, Sim Jaehwan, Murray James, Li Meng, Lee Ara, Shrinidhi Annadka, Park Kyeng Min, Kim Kimoon",1712,Article,NATURE COMMUNICATIONS,
22,Self-assembled adhesive biomaterials formed by a genetically designed fusion protein,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=51&SID=E5Qo3YouhVhOcEpSeHj&page=1&doc=1,"Kim K, Park KM, Cha HJ","ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","Aich Pulakesh, An Jaeyeon, Yang Byeongseon, Ko Young Ho, Kim Junghyun, Murray James, Cha Hyung Joon, Roh Joon Ho, Park Kyeng Min, Kim Kimoon",12642-12645,Article,CHEMICAL COMMUNICATIONS,
