,사번,논문연번,Title,cor_A,inst,Author,vol_num,paper_type,Journal,Date,Affilation,val_title
0,188017,349,0,0,0,0,0,0,0,0,0,unknown--
1,188017,354,0,0,0,0,0,0,0,0,0,unknown--
2,188017,355,0,0,0,0,0,0,0,0,0,unknown--
3,188017,356,부분 디퓨저 베인의 배열이 원심펌프의 수력성능에 미치는 영향,김광용 /Kwang-Yong Kim,한국유체기계학회,"김상훈 /SANGHOON KIM, 심현석 /Hyeon-Seok Shim",5-13,0,한국유체기계학회 논문집,2019.04,"김상훈 /SANGHOON KIM[인하대학교], 심현석 /Hyeon-Seok Shim[인하대학교], 김광용 /Kwang-Yong Kim[인하대학교]",valid
4,188017,357,0,0,0,0,0,0,0,0,0,unknown--
5,188017,358,0,0,0,0,0,0,0,0,0,unknown--
6,188017,359,0,0,0,0,0,0,0,0,0,unknown--
7,188017,360,0,0,0,0,0,0,0,0,0,unknown--
8,188017,361,0,0,0,0,0,0,0,0,0,unknown--
9,188017,362,Simultaneous Optimization of Impeller and Volute of a Single-channel Pump for Wastewater Treatment,김진혁 /Kim Jin Hyuk,한국유체기계학회,"마상범 /Sang-Bum Ma, 최영석 /Youngseok Choi, 김광용 /Kwang-Yong Kim",99-108,0,International Journal of Fluid Machinery and Systems,2019.06,"김진혁 /Kim Jin Hyuk[한국생산기술연구원], 마상범 /Sang-Bum Ma[인하대학교], 최영석 /Youngseok Choi[한국생산기술연구원], 김광용 /Kwang-Yong Kim[인하대학교]",valid
10,188017,363,0,0,0,0,0,0,0,0,0,unknown--
11,188017,364,0,0,0,0,0,0,0,0,0,unknown--
12,188017,365,0,0,0,0,0,0,0,0,0,unknown--
13,188017,366,0,0,0,0,0,0,0,0,0,unknown--
14,188017,367,Swept 임펠러를 갖는 수중축류펌프의 형상 변수가 수력학적 성능에 미치는 영향,허만웅,한국유체기계학회,"김윤성 /Kim YuneSung, 김광용 /Kwang-Yong Kim",19-27,0,한국유체기계학회 논문집,2019.06,"김윤성 /Kim YuneSung[인하대학교], 김광용 /Kwang-Yong Kim[인하대학교], 허만웅[한국해양과학기술원 연안개발 에너지연구센터]",valid
15,188017,368,0,0,0,0,0,0,0,0,0,unknown--
16,188017,369,Integrated vortex micro T-mixer for rapid mixing of fluids,"김광용 /Kwang-Yong Kim, 김선민 /Sun Min Kim",대한기계학회,Mubashshir Ahmad Ansari,5923-5931,0,Journal of Mechanical Science and Technology,2019.12,"Mubashshir Ahmad Ansari[Aligarh Muslim University], 김광용 /Kwang-Yong Kim[인하대학교], 김선민 /Sun Min Kim[인하대학교]",valid
17,188017,370,벤츄리관 형상이 제트 믹서의 성능에 미치는 영향,김광용 /Kwang-Yong Kim,한국유체기계학회,"김근배, 마상범 /Sang-Bum Ma",14-21,0,한국유체기계학회 논문집,2019.12,"김근배[인하대학교], 마상범 /Sang-Bum Ma[인하대학교], 김광용 /Kwang-Yong Kim[인하대학교]",valid
18,188017,371,0,0,0,0,0,0,0,0,0,unknown--
19,188065,271,0,0,0,0,0,0,0,0,0,unknown--
20,188065,274,Fly ash-derived mesoporous silica foams for CO2 capture and aqueous Nd3+ adsorption,안화승 /AHN WHA SEUNG,한국공업화학회,"Siqian Zhang, Seenu Ravi, 이유리 /Lee Yuri, 안지환 /Ji-whan Ahn",241-249,0,Journal of Industrial and Engineering Chemistry,2019.04,"Siqian Zhang[인하대학교], Seenu Ravi[인하대학교], 이유리 /Lee Yuri[인하대학교], 안지환 /Ji-whan Ahn[한국지질자원연구원], 안화승 /AHN WHA SEUNG[인하대학교]",valid
21,188065,279,0,0,0,0,0,0,0,0,0,unknown--
22,188065,280,0,0,0,0,0,0,0,0,0,unknown--
23,188065,281,0,0,0,0,0,0,0,0,0,unknown--
24,188065,282,0,0,0,0,0,0,0,0,0,unknown--
25,188065,283,0,0,0,0,0,0,0,0,0,unknown--
26,188065,284,0,0,0,0,0,0,0,0,0,unknown--
27,188065,285,0,0,0,0,0,0,0,0,0,unknown--
28,188065,286,0,0,0,0,0,0,0,0,0,unknown--
29,188065,287,0,0,0,0,0,0,0,0,0,unknown--
30,188065,289,0,0,0,0,0,0,0,0,0,unknown--
31,188065,290,0,0,0,0,0,0,0,0,0,unknown--
32,188065,296,0,0,0,0,0,0,0,0,0,unknown--
33,188065,297,0,0,0,0,0,0,0,0,0,unknown--
34,188065,298,0,0,0,0,0,0,0,0,0,unknown--
35,188065,299,0,0,0,0,0,0,0,0,0,unknown--
36,188072,768,0,0,0,0,0,0,0,0,0,unknown--
37,188072,781,0,0,0,0,0,0,0,0,0,unknown--
38,188072,782,0,0,0,0,0,0,0,0,0,unknown--
39,188072,783,Synthesis and thermal analysis of hydrophobic iron oxide nanoparticles for improving in-situ combustion efficiency of heavy oils,최형진 /Hyoung Jin Choi,한국공업화학회,"Ehsan Esmaeilnezhad, Milad Karimian",402-409,0,Journal of Industrial and Engineering Chemistry,2019.03,"Ehsan Esmaeilnezhad[Hakim Sabzevari University], Milad Karimian[Razi University], 최형진 /Hyoung Jin Choi[인하대학교]",valid
40,188072,784,Fabrication of dual-coated graphene oxide nanosheets by polypyrrole and poly(ionic liquid) and their enhanced electrorheological responses,최형진 /Hyoung Jin Choi,한국공업화학회,"Panpan Chen, Qianqian Cheng, Li-Min Wang, Ying Dan Liu",106-115,0,Journal of Industrial and Engineering Chemistry,2019.01,"Panpan Chen[Yanshan University], Qianqian Cheng[Yanshan University], Li-Min Wang[Yanshan University], Ying Dan Liu[Yanshan University], 최형진 /Hyoung Jin Choi[인하대학교]",valid
