,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,
62,0,0,0,0,0,0,0,0,0,,0
63,Effects of dispersion state on rheological and electrical characteristics of concentrated multiwalled carbon nanotube suspensions,0,최형진 /Hyoung Jin Choi,: 한국유변학회,"김민환 /MINHWAN KIM, 권승혁 /Kwon Seung Hyuk",179-186,0,The Korea-Australia Rheology Journal,2019.08,,1
64,0,0,0,0,0,0,0,0,0,,0
65,0,0,0,0,0,0,0,0,0,,0
66,0,0,0,0,0,0,0,0,0,,0
67,0,0,0,0,0,0,0,0,0,,0
68,Effect of medium viscosity on rheological characteristics of magnetite-based magnetorheological fluids,0,최형진 /Hyoung Jin Choi,: 한국공업화학회,"Ehsan Esmaeilnezhad, Seyed Hasan Hajiabadi",197-204,0,Journal of Industrial and Engineering Chemistry,2019.12,,1
69,0,0,0,0,0,0,0,0,0,,0
70,0,0,0,0,0,0,0,0,0,,0
71,Stimuli-Responsive Graphene Oxide-Polymer Nanocomposites,0,"이진현 /Jin Hyun Lee, 최형진 /Hyoung Jin Choi",: 한국고분자학회,"Qi Lu, 장효선 /Hyo Seon Jang, Wen Jiao Han",1061-1070,0,Macromolecular Research,2019.11,,1
72,0,0,0,0,0,0,0,0,0,,0
73,0,0,0,0,0,0,0,0,0,,0
74,0,0,0,0,0,0,0,0,0,,0
75,"Agriculture Development and Crop Diversification in Western Himalayan State of Himachal Pradesh
인도 히마할 프라데시주의 농업개발과 농작물 다각화에 대한 생산성 비교연구",0,박기찬 /PARK KI CHAN,: 피터드러커 소사이어티,"Rozy Dhanta, Suresh Chand Tewari, Ram Parkash Dwivedi, Yashwant Singh Negi",57-93,0,창조와 혁신,2019.09,,1
76,0,0,0,0,0,0,0,0,0,,0
77,"조선시대 민화를 응용한 스카프 디자인 개발 - 화조화를 중심으로 -
The Study on Development of Scarf Design by Applying the Folk Painting in Chosun Dynasty - Focused on Flower Bird Painting -",0,정성혜 /Jung Sung Hye,: 한국패션디자인학회,정성혜 /Jung Sung Hye,129-146,0,한국패션디자인학회지,2019.03,,1
78,"전통 보자기를 활용한 스카프 디자인 개발 - 조각보와 자수보를 중심으로 -
Scarf design development using traditional Bojagi - Focused on Jogakbo and Jasubo -",0,정성혜 /Jung Sung Hye,: 한국패션디자인학회,김혜은 /Kim Hye Eun,107-123,0,한국패션디자인학회지,2019.12,,1
79,"The Eschar Size and Early Inoculation Lesion of Tsutsugamushi Disease on Jeju Island, Korea",0,정문현 /Moon-Hyun Chung,: 대한감염학회,"김영훈 /Young Hoon Kim, 현우진 /Woojin Hyun, 김동필 /Dong Pil Kim, 임재형 /Jae Hyoung Im, 백지현 /Ji-hyeon Baek, 이진수 /Jin-Soo Lee, 강재승 /Jae-Seung Kang",345-354,0,Infection and Chemotherapy,2019.12,,1
80,History of Tsutsugamushi Disease in Korea,0,정문현 /Moon-Hyun Chung,: 대한감염학회,강재승 /Jae-Seung Kang,196-209,비정규 논문,Infection and Chemotherapy,2019.06,,1
81,P-Protein: A Novel Target for Skin-whitening Agent,0,EUN-KI KIM,: 한국생물공학회,Birendra Kumar Singh,76-84,0,Biotechnology and Bioprocess Engineering,2019.02,,1
82,0,0,0,0,0,0,0,0,0,,0
83,0,0,0,0,0,0,0,0,0,,0
84,0,0,0,0,0,0,0,0,0,,0
85,"한국산 도둑놈의갈고리족(콩과)의 DNA 바코드 및 계통학적 연구
DNA barcode and phylogenetic study of the tribe Desmodieae (Fabaceae) in Korea",0,최병희 /CHOI BYOUNGHEE,: 한국식물분류학회,"진동필 /Dong Pil Jin, 박종원, 박종수 /Jong-Soo Park",224-239,0,식물분류학회지,2019.09,,1
