,Unnamed: 0,사번,논문연번,Title,cor_A,inst,Author,vol_num,paper_type,Journal,Date,Affilation,val_title
16,16,188017,369,Integrated vortex micro T-mixer for rapid mixing of fluids,Min S(corresponding author),"KOREAN SOC MECHANICAL ENGINEERS, KSTC NEW BLD. 7TH FLOOR, 635-4 YEOKSAM-DONG KANGNAM-KU, SEOUL 135-703, SOUTH KOREA","Ansari Mubashshir Ahmad, Kim Kwang-Yong, Min Sun",5923-5931,Article,JOURNAL OF MECHANICAL SCIENCE AND TECHNOLOGY,DEC 2019,"Ansari Mubashshir Ahmad[Aligarh Muslim Univ], Kim Kwang-Yong[Inha Univ], Min Sun[Inha Univ]",valid
17,17,188017,370,0,0,0,0,0,0,0,0,0,unknown--
18,18,188017,371,Effects of Installation Conditions of Fluidic Oscillators on Control of Flow Separation,Kim KY(corresponding author),"AMER INST AERONAUTICS ASTRONAUTICS, 1801 ALEXANDER BELL DRIVE, STE 500, RESTON, VA 22091-4344 USA","Kim Sang-Hyuk, Kim Kwang-Yong",5208-5219,Article,AIAA JOURNAL,DEC 2019,"Kim Sang-Hyuk[Inha Univ], Kim Kwang-Yong[Inha Univ]",valid
19,19,188065,271,Catalytic transfer hydrogenation of bio-based furfural by palladium supported on nitrogen-doped porous carbon,Ahn WS(corresponding author),"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Puthiaraj Pillaiyar, Kim Kyoungsoo, Ahn Wha-Seung",49-58,Article,CATALYSIS TODAY,MAR 1 2019,"Puthiaraj Pillaiyar[Inha Univ], Kim Kyoungsoo[Chonbuk Natl Univ], Ahn Wha-Seung[Inha Univ]",valid
20,20,188065,274,Fly ash-derived mesoporous silica foams for CO2 capture and aqueous Nd3+ adsorption,Ahn WS(corresponding author),"ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Zhang Siqian, Ravi Seenu, Lee Yu-Ri, Ahn Ji-Whan, Ahn Wha-Seung",241-249,Article,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,APR 25 2019,"Zhang Siqian[Inha Univ], Ravi Seenu[Inha Univ], Lee Yu-Ri[Inha Univ], Ahn Ji-Whan[Korea Inst Geosci & Mineral Resource KIGAM], Ahn Wha-Seung[Inha Univ]",valid
21,21,188065,279,0,0,0,0,0,0,0,0,0,unknown--
22,22,188065,280,Gd3+ Adsorption over Carboxylic- and Amino-Group Dual-Functionalized UiO-66,Ahn WS(corresponding author),"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Ahmed Imteaz, Lee Yu-Ri, Yu Kwangsun, Bhattacharjee Samiran, Ahn Wha-Seung",2324-2332,Article,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,FEB 13 2019,"Ahmed Imteaz[Inha Univ], Lee Yu-Ri[Inha Univ], Yu Kwangsun[Inha Univ], Bhattacharjee Samiran[Univ Dhaka], Ahn Wha-Seung[Inha Univ]",valid
23,23,188065,281,Amine-Functionalized Metal-Organic Frameworks and Covalent Organic Polymers as Potential Sorbents for Removal of Formaldehyde in Aqueous Phase: Experimental Versus Theoretical Study,"Kukkar D(corresponding author), Kim KH(corresponding author)","AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Vellingiri Kowsalya, Deng Ya-Xin, Kim Ki-Hyun, Jiang Jheng-Jie, Kim Taejin, Shang Jin, Ahn Wha-Seung, Kukkar Deepak, Boukhvalov Danil W.",1426-1439,Article,ACS APPLIED MATERIALS & INTERFACES,JAN 9 2019,"Kim Ki-Hyun[Hanyang Univ], Jiang Jheng-Jie[Chung Yuan Christian Univ], Kim Taejin[SUNY Stony Brook], Shang Jin[City Univ Hong Kong], Ahn Wha-Seung[Inha Univ]",valid
24,24,188065,282,Catalytic dehydrogenation of formic acid over palladium nanoparticles immobilized on fibrous mesoporous silica KCC-1,Ahn WS(corresponding author),"SCIENCE PRESS, 16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA","Zhang Sigian, Qian Yingjie, Ahn Wha-Seung",1704-1712,Article,CHINESE JOURNAL OF CATALYSIS,NOV 2019,"Zhang Sigian[Inha Univ], Qian Yingjie[Inha Univ], Ahn Wha-Seung[Inha Univ]",valid
25,25,188065,283,Competitive adsorption of gaseous aromatic hydrocarbons in a binary mixture on nanoporous covalent organic polymers at various partial pressures,Kim KH(corresponding author),"ACADEMIC PRESS INC ELSEVIER SCIENCE, 525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA","Maitlo Hubdar Ali, Kim Ki-Hyun, Khan Azmatullah, Szulejko Jan E., Kim Jo Chun, Song Hee Nam, Ahn Wha-Seung",1-11,Article,ENVIRONMENTAL RESEARCH,JUN 2019,"Maitlo Hubdar Ali[Hanyang Univ], Kim Ki-Hyun[Hanyang Univ], Szulejko Jan E.[Hanyang Univ], Kim Jo Chun[Konkuk Univ], Ahn Wha-Seung[Inha Univ]",valid
26,26,188065,284,Porous Covalent Organic Polymers Comprising a Phosphite Skeleton for Aqueous Nd(III) Capture,Ahn WS(corresponding author),"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Ravi Seenu, Puthiaraj Pillaiyar, Yu Kwangsun, Ahn Wha-Seung",11488-11497,Article,ACS APPLIED MATERIALS & INTERFACES,MAR 27 2019,"Ravi Seenu[Inha Univ], Puthiaraj Pillaiyar[Inha Univ], Yu Kwangsun[Inha Univ], Ahn Wha-Seung[Inha Univ]",valid
27,27,188065,285,Ionic liquid entrapped UiO-66: Efficient adsorbent for Gd3+ capture from water,Ahn WS(corresponding author),"ELSEVIER SCIENCE SA, PO BOX 564, 1001 LAUSANNE, SWITZERLAND","Ahmed Imteaz, Adhikary Keshab Kumar, Lee Yu-Ri, Row Kyung Ho, Kang Kyoung-Ku, Ahn Wha-Seung",792-799,Article,CHEMICAL ENGINEERING JOURNAL,AUG 15 2019,"Ahmed Imteaz[Inha Univ], Adhikary Keshab Kumar[Inha Univ], Lee Yu-Ri[Inha Univ], Row Kyung Ho[Inha Univ], Kang Kyoung-Ku[Chungnam Natl Univ], Ahn Wha-Seung[Inha Univ]",valid
28,28,188065,286,CO2 adsorption and conversion into cyclic carbonates over a porous ZnBr2-grafted N-heterocyclic carbene-based aromatic polymer,Ahn WS(corresponding author),"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Puthiaraj Pillaiyar, Ravi Seenu, Yu Kwangsun, Ahn Wha-Seung",195-205,Article,APPLIED CATALYSIS B-ENVIRONMENTAL,AUG 15 2019,"Puthiaraj Pillaiyar[Inha Univ], Ravi Seenu[Inha Univ], Yu Kwangsun[Inha Univ], Ahn Wha-Seung[Inha Univ]",valid
29,29,188065,287,Pd(II)-immobilized on a nanoporous triazine-based covalent imine framework for facile cyanation of haloarenes with K4Fe(CN)(6),Ahn WS(corresponding author),"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Puthiaraj Pillaiyar, Yu Kwangsun, Shim Sang Eun, Ahn Wha-Seung",15-22,Article,MOLECULAR CATALYSIS,AUG 2019,"Puthiaraj Pillaiyar[Inha Univ], Yu Kwangsun[Inha Univ], Shim Sang Eun[Inha Univ], Ahn Wha-Seung[Inha Univ]",valid
