,Unnamed: 0,사번,논문연번,Title,cor_A,inst,Author,vol_num,paper_type,Journal,Date,Affilation,val_title
425,425,196023,222,VASCULAR CALCIFICATION BY INFLAMMATION COULD BE AN IMPORTANT CAUSE OF CARDIOVASCULAR DISEASE IN PATIENTS WITH ANKYLOSING SPONDYLITIS,0,"BMJ PUBLISHING GROUP, BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND","Lee Seung Yun, Kwon Seong-Ryul, Yoon Su-Ah, Jung Kyong-Hee, Park Won, Park Shin-Goo, Lim Mie Jin",866-866,Meeting Abstract,ANNALS OF THE RHEUMATIC DISEASES,JUN 2019,"Lee Seung Yun[Inha Univ Hosp], Kwon Seong-Ryul[Inha Univ Hosp], Yoon Su-Ah[Inha Univ Hosp], Jung Kyong-Hee[Inha Univ Hosp], Park Won[Inha Univ Hosp], Park Shin-Goo[Inha Univ Hosp], Lim Mie Jin[Inha Univ Hosp]",valid
426,426,196023,223,"SAFETY AND EFFICACY OF LY3337641, A BRUTON'S TYROSINE KINASE INHIBITOR IN PATIENTS WITH RHEUMATOID ARTHRITIS: A RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, 2-PART PHASE 2 STUDY",0,"BMJ PUBLISHING GROUP, BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND","Genovese Mark C., Spindler Alberto, Sagawa Akira, Park Won, Dudek Anna, Kivitz Alan, Chao Jeannie, Chan Lai Shan , Barchuk William, Nirula Ajay",1109-1110,Meeting Abstract,ANNALS OF THE RHEUMATIC DISEASES,JUN 2019,"Genovese Mark C.[Stanford Univ], Park Won[Inha Univ Hosp], Kivitz Alan[Altoona Ctr Clin Res], Chao Jeannie[Eli Lilly & Co], Chan Lai Shan [Eli Lilly & Co], Barchuk William[Eli Lilly & Co], Nirula Ajay[Eli Lilly & Co]",valid
427,427,196023,224,Associations of Serum Uric Acid with Cardiovascular Disease Risk: Data from the Korea National Health and Nutrition Examination Survey,0,"WILEY, 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Jung Kyong-Hee, Lee Seung Yun, Park Won, Suh Young Ju, Lim Mie Jin, Kwon Seong-Ryul, Lee Joo-Hyun, Joo Young Bin",0,Meeting Abstract,ARTHRITIS & RHEUMATOLOGY,OCT 2019,"Jung Kyong-Hee[Inha Univ Hosp], Lee Seung Yun[Inha Univ Hosp], Park Won[Inha Univ Hosp], Suh Young Ju[Inha Univ Hosp], Lim Mie Jin[Inha Univ Hosp], Kwon Seong-Ryul[Inha Univ Hosp], Lee Joo-Hyun[Inje Univ]",valid
428,428,196023,225,Obesity Protects Patients with Rheumatoid Arthritis from Systemic Bone Losing During Anti-TNF Treatment,0,"WILEY, 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Lim Mie Jin, Park Won, Kwon Seong Ryul, Jung Kyong-Hee, Lee Seung Yun",358-358,Meeting Abstract,JOURNAL OF BONE AND MINERAL RESEARCH,DEC 2019,"Lim Mie Jin[Inha Univ Hosp], Park Won[Inha Univ Hosp], Kwon Seong Ryul[Inha Univ Hosp], Jung Kyong-Hee[Inha Univ Hosp], Lee Seung Yun[Inha Univ Hosp]",valid
429,429,196030,89,Dramatic unilateral decrease in uptake via the dopamine transporter: Imaging in a patient with hemiparkinsonism following the lacunar stroke in substantia nigra,Yoon BN(corresponding author),"ASEAN NEUROLOGICAL ASSOC, UNIV MALAYA MEDICAL CENTRE, NEUROLOGY LABORATORY, KUALA LUMPUR, 59100, MALAYSIA","Ahn Jong Hyeon, Kim Lui-JunYang, Kim Eun Young, Park Jeong Jin, Yoon Byung-Nam",75-78,Article,NEUROLOGY ASIA,MAR 2019,"Ahn Jong Hyeon[Samsung Med Ctr], Kim Lui-JunYang[Univ Ulsan], Kim Eun Young[Inha Univ], Park Jeong Jin[Konkuk Univ], Yoon Byung-Nam[Inje Univ]",valid
430,430,196051,102,A multi-institutional and case-matched control study on treatment outcomes of consolidative radiotherapy after a full course of R-CHOP compared with R-CHOP alone in Stage I-II diffuse large B-cell lymphoma (KROG 17-02),Lee JH(corresponding author),"OXFORD UNIV PRESS, GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND","Chung Mi Joo, Cho Won Kyung, Oh Dongryul, Eom Keun-Yong, Kim Jin Hee, Kim Woo Chul, Lee Jong Hoon",677-684,Article,JOURNAL OF RADIATION RESEARCH,SEP 2019,"Chung Mi Joo[Kyung Hee Univ], Cho Won Kyung[Sungkyunkwan Univ], Oh Dongryul[Sungkyunkwan Univ], Eom Keun-Yong[Seoul Natl Univ], Kim Jin Hee[Keimyung Univ], Kim Woo Chul[Inha Univ Med], Lee Jong Hoon[Catholic Univ Korea]",valid
431,431,196051,103,"Cancer Statistics in Korea: Incidence, Mortality, Survival, and Prevalence in 2016",Won YJ(corresponding author),"KOREAN CANCER ASSOCIATION, RM 1824, GWANGHWAMUN OFFICIA, 92 SAEMUNAN-RO, JONGNO-GU, SEOUL, 110-999, SOUTH KOREA","Jung Kyu-Won, Won Young-Joo, Kong Hyun-Joo, Lee Eun Sook, Kim Chang-Hoon, Yoo Cheol-In, Kim Yong-Dae, Nam Hae-Sung, Huh Jung-Sik, Youm Jung-Ho",417-430,Article,CANCER RESEARCH AND TREATMENT,APR 2019,"Kim Chang-Hoon[Pusan Natl Univ Hosp], Yoo Cheol-In[Ulsan Univ Hosp], Kim Yong-Dae[Chungbuk Natl Univ Hosp], Nam Hae-Sung[Chungnam Natl Univ & Hosp], Huh Jung-Sik[Jeju Natl Univ & Hosp], Youm Jung-Ho[Chonbuk Natl Univ Hosp]",valid
432,432,196051,105,Early toxicity of moderate hypofractionated volumetric modulated Arc radiotherapy for localized prostate cancer,Kim HJ(corresponding author),"IJRR-IRANIAN JOURNAL RADIATION RES, NO 29, 4TH FL, CHAMRAN MEDICAL BLDG, PARVANEH ST, ALE-AHMAD HWY, TEHRAN, 00000, IRAN","Kim H. J., Lee J. S., Kim W. C.",293-300,Article,INTERNATIONAL JOURNAL OF RADIATION RESEARCH,APR 2019,"Kim H. J.[Inha Univ Med], Lee J. S.[Inha Univ Med], Kim W. C.[Inha Univ Med]",valid
433,433,196051,106,A Novel Immunomodulatory Mechanism Dependent on Acetylcholine Secreted by Human Bone Marrow-derived Mesenchymal Stem Cells,Song SU(corresponding author),"KOREAN SOC STEM CELL RESEARCH, CATHOLIC UNIV KOREA 505, INST BIOMEDICAL INDUSTRY, BANPO-DONG, SEOCHO-GU 00000, SOUTH KOREA","Yi Tac-Ghee, Cho Yun-Kyoung, Lee Hyun-Joo, Kim Junghee, Jeon Myung-Shin, Ham Dong-Sik, Kim Woo Cheol, Song Sun U.",315-330,Article,INTERNATIONAL JOURNAL OF STEM CELLS,JUL 2019,"Jeon Myung-Shin[Inha Univ], Kim Woo Cheol[Inha Univ]",valid
434,434,196051,108,0,0,0,0,0,0,0,0,0,unknown--
435,435,196053,52,Association of Circulating Irisin Concentrations with Weight Loss after Roux-en-Y Gastric Bypass Surgery,"Shin DW(corresponding author), Kang JH(corresponding author)","MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Lee Yeon Ji, Heo Yoonseok, Choi Ji-Ho, Park Sunghyouk, Kim Kyoung Kon, Shin Dong Wun, Kang Ju-Hee",660,Article,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,FEB 2 2019,"Lee Yeon Ji[Inha Univ], Heo Yoonseok[Inha Univ], Choi Ji-Ho[Inha Univ], Park Sunghyouk[Seoul Natl Univ], Shin Dong Wun[Inje Univ]",valid
436,436,196053,54,0,0,0,0,0,0,0,0,0,unknown--
437,437,196053,55,0,0,0,0,0,0,0,0,0,unknown--
438,438,196053,56,0,0,0,0,0,0,0,0,0,unknown--
439,439,196056,135,The Impact of Comorbidity Burden on The Association between Vascular Access Type and Clinical Outcomes among Elderly Patients Undergoing Hemodialysis,Lee SW(corresponding author),"NATURE PUBLISHING GROUP, MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Jhee Jong Hyun, Hwang Seun Deuk, Song Joon Ho, Lee Seoung Woo",18156,Article,SCIENTIFIC REPORTS,DEC 3 2019,"Jhee Jong Hyun[Yonsei Univ], Hwang Seun Deuk[Inha Univ], Song Joon Ho[Inha Univ], Lee Seoung Woo[Inha Univ]",valid
440,440,196056,136,0,0,0,0,0,0,0,0,0,unknown--
441,441,196056,137,"Effectiveness of Antithymocyte Globulin Induction Dosing Regimens in Kidney Transplantation Patients: A Network Meta-analysis (vol 51, pg 2606, 2019)",Go J(corresponding author),"ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Go Jin, Ko KyungJai, Jun Dami, Kwon Su-kyung",3481-3481,Correction,TRANSPLANTATION PROCEEDINGS,DEC 2019,0,valid
442,442,196056,138,Effect of Fluvastatin on Cardiovascular Complications in Kidney Transplant Patients: A Systemic Review and Meta-analysis,Song JH(corresponding author),"ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Hwang Seun Deuk, Lee Jin Ho, Jhee Jong Hyun, Kim Yoon Ji, Park Keun-Myoung, Kim Joong Kyung, Lee Seoung Woo, Song Joon Ho",2710-2713,Article; Proceedings Paper,TRANSPLANTATION PROCEEDINGS,OCT 2019,"Hwang Seun Deuk[Inha Univ], Jhee Jong Hyun[Inha Univ], Park Keun-Myoung[Inha Univ], Lee Seoung Woo[Inha Univ], Song Joon Ho[Inha Univ]",valid
443,443,196057,68,0,0,0,0,0,0,0,0,0,unknown--
444,444,196057,69,0,0,0,0,0,0,0,0,0,unknown--
445,445,196057,70,0,0,0,0,0,0,0,0,0,unknown--
446,446,196063,149,"The Prevalence of Low Plasma Neutrophil Gelatinase-Associated Lipocalin Level in Systemic Inflammation and its Relationship with Proinflammatory Cytokines, Procalcitonin, Nutritional Status, and Leukocyte Profiles",Choi JW(corresponding author),"CLIN LAB PUBL, IM BREITSPIEL 15, HEIDELBERG, D-69126, GERMANY","Choi Jong Weon, Fujii Tatsuyoshi",1063-1074,Article,CLINICAL LABORATORY,2019,Choi Jong Weon[Inha Univ],valid
447,447,196063,150,"Relationship between neutrophil gelatinase-associated lipocalin, cardiac biomarkers, inflammation index and renal parameters in cardiovascular disease",Choi JW(corresponding author),"INST BIOLOSKA ISTRAZIVANJA SINISA STANKOVIC, 29 NOVEMBRA 142, BEOGRAD, 11060, SERBIA","Choi Jong Weon, Lee Moon Hee, Fujii Tatsuyoshi",621-628,Article,ARCHIVES OF BIOLOGICAL SCIENCES,2019,"Choi Jong Weon[Inha Univ], Lee Moon Hee[Inha Univ]",valid
448,448,196066,126,The effect of cardiovascular risk factors on the carotid intima-media thickness in an old-aged cohort with hypertension: a longitudinal evolution with 4-year follow-up of a random clinical trial,Wang HY(corresponding author),"TAYLOR & FRANCIS INC, 530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA","Zhao Xiao Xiao, Liu Jinbo, Zhao Hongwei, Zhou Yingyan, Li Lihong, Wang Hongyu",49-57,Article,CLINICAL AND EXPERIMENTAL HYPERTENSION,JAN 2 2019,"Zhao Xiao Xiao[Peking Univ], Liu Jinbo[Peking Univ], Zhao Hongwei[Peking Univ], Zhou Yingyan[Peking Univ], Li Lihong[Peking Univ], Wang Hongyu[Peking Univ]",invalid (0.23)
449,449,196067,68,Actinomycotic osteomyelitis of a long bone in an immunocompetent adult: a case report and literature review,Kim MK(corresponding author),"BMC, CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Ryu Dong Jin, Jeon Yoon Sang, Kwon Hea Yoon, Choi Suk Jin, Roh Tae Hoon, Kim Myung Ku",185,Review,BMC MUSCULOSKELETAL DISORDERS,MAY 1 2019,"Ryu Dong Jin[Inha Univ Hosp], Jeon Yoon Sang[Inha Univ Hosp], Kwon Hea Yoon[Inha Univ Hosp], Choi Suk Jin[Inha Univ Hosp], Roh Tae Hoon[Inha Univ Hosp], Kim Myung Ku[Inha Univ Hosp]",valid
450,450,196067,69,The proper correction of the mechanical axis in high tibial osteotomy with concomitant cartilage procedures-a retrospective comparative study,Park JH(corresponding author),"BMC, CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Kim Myung Ku, Ko Bong Sung, Park Joo Hyun",281,Article,JOURNAL OF ORTHOPAEDIC SURGERY AND RESEARCH,AUG 28 2019,"Kim Myung Ku[Inha Univ Hosp], Ko Bong Sung[Inha Univ Hosp], Park Joo Hyun[Inha Univ Hosp]",valid
451,451,196071,114,RELATIONS OF BLOOD PRESSURE VARIABILITY TO LEFT VENTRICULAR FUNCTION AND ARTERIAL STIFFNESS IN THE HYPERTENSIVE PATIENTS,0,"LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA","Shin Sung-Hee, Jang Ji-Hoon, Lee Man-Jong, Park Sang-Don, Kwon Sung-Woo, Woo Seong-Ill, Kim Dae-Hyeok, Kim Moon-Jae, Park Keum-Soo, Kwan Jun",E484-E485,Meeting Abstract,JOURNAL OF HYPERTENSION,SEP 2016,"Shin Sung-Hee[Inha Univ Hosp], Jang Ji-Hoon[Inha Univ Hosp], Lee Man-Jong[Inha Univ Hosp], Park Sang-Don[Inha Univ Hosp], Kwon Sung-Woo[Inha Univ Hosp], Woo Seong-Ill[Inha Univ Hosp], Kim Dae-Hyeok[Inha Univ Hosp], Kim Moon-Jae[Inha Univ Hosp], Park Keum-Soo[Inha Univ Hosp], Kwan Jun[Inha Univ Hosp]",valid
452,452,196071,116,RELATIONSHIP BETWEEN ARTERIAL STIFFNESS AND CIRCADIAN PATTERN OF BLOOD PRESSURE,0,"ELSEVIER SCIENCE INC, 360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA","Park Jin-Sun, Shin Joon-Han, Park Jeong Bae, Choi Dong-Ju, Youn Ho-Joong, Park Chang-Gyu, Kwan Jun, Ahn Young Keun, Kim Dong Woon, Rim Se-Joong",E1645-E1645,Meeting Abstract,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,MAR 27 2012,"Park Jin-Sun[Ajou Univ], Shin Joon-Han[Ajou Univ], Park Jeong Bae[Ajou Univ], Choi Dong-Ju[Ajou Univ], Youn Ho-Joong[Ajou Univ], Park Chang-Gyu[Ajou Univ], Kwan Jun[Ajou Univ], Ahn Young Keun[Ajou Univ], Kim Dong Woon[Ajou Univ], Rim Se-Joong[Ajou Univ]",valid
453,453,196075,83,Early Adjacent Vertebral Fractures after Balloon Kyphoplasty for Osteoporotic Vertebral Compression Fractures,Cho KJ(corresponding author),"KOREAN SOC SPINE SURGERY, DEPT ORTHOPAEDIC SURGERY, YONSEI UNIV, COLL MEDICINE, SEOUL, 120-752, SOUTH KOREA","Ko Bong-Seong, Cho Kyu-Jung, Park Jae-Woo",210-215,Article,ASIAN SPINE JOURNAL,APR 2019,"Ko Bong-Seong[Inha Univ], Cho Kyu-Jung[Inha Univ], Park Jae-Woo[Inha Univ]",valid
454,454,196075,84,Risk factors for recurrent lumbar disc herniation after discectomy,Cho KJ(corresponding author),"SPRINGER, ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","Shin Eun-Ho, Cho Kyu-Jung, Kim Young-Tae, Park Myung-Hoon",963-967,Article,INTERNATIONAL ORTHOPAEDICS,APR 2019,"Shin Eun-Ho[Inha Univ], Cho Kyu-Jung[Inha Univ], Kim Young-Tae[Inha Univ], Park Myung-Hoon[Inha Univ]",valid
455,455,196084,17,"Safety, efficacy, and removability of a fully covered multi-hole metal stent in a swine model of hilar biliary stricture: a feasibility study",Jeong S(corresponding author),"GEORG THIEME VERLAG KG, RUDIGERSTR 14, D-70469 STUTTGART, GERMANY","Park Jin-Seok, Jeong Seok, Kobayashi Makoto, Lee Don Haeng",E498-E503,Article,ENDOSCOPY INTERNATIONAL OPEN,APR 2019,0,valid
456,456,196084,18,Balloons larger than 15 mm can increase the risk of adverse events following endoscopic papillary large balloon dilation,Kim JH(corresponding author),"WILEY, 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Lee Gil Ho, Yang Min Jae, Kim Jin Hong, Hwang Jae Chul, Yoo Byung Moo, Lee Dong Ki, Jang Sung Ill, Lee Tae Hoon, Park Sang-Heum, Park Jin-Seok",1450-1453,Article,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,AUG 2019,"Lee Gil Ho[Ajou Univ], Yang Min Jae[Ajou Univ], Kim Jin Hong[Ajou Univ], Hwang Jae Chul[Ajou Univ], Yoo Byung Moo[Ajou Univ], Lee Dong Ki[Yonsei Univ], Jang Sung Ill[Yonsei Univ], Lee Tae Hoon[Soonchunhyang Univ], Park Sang-Heum[Soonchunhyang Univ], Park Jin-Seok[Inha Univ]",valid
457,457,196084,280,"Hypoxia-induced microRNA-590-5p promotes colorectal cancer progression by modulating matrix metalloproteinase activity (vol 416, pg 31, 2018)",Park HJ(corresponding author),"ELSEVIER IRELAND LTD, ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000, IRELAND","Kim Chan Woo, Oh Eun-Taex, Kim Joon Mee, Park Jin-Seok, Lee Don Haeng, Lee Jae-Seon, Kim Kyung Keun, Park Heon Joo",73-73,Correction,CANCER LETTERS,2019,"Kim Joon Mee[Inha Univ], Park Jin-Seok[Inha Univ], Lee Don Haeng[Inha Univ], Kim Kyung Keun[Chonnam Natl Univ]",valid
458,458,196084,281,0,0,0,0,0,0,0,0,0,unknown--
459,459,196084,282,0,0,0,0,0,0,0,0,0,unknown--
460,460,196084,283,0,0,0,0,0,0,0,0,0,unknown--
461,461,196084,284,Tumor-Specific Aptamer-Conjugated Polymeric Photosensitizer for Effective Endo-Laparoscopic Photodynamic Therapy,Na K(corresponding author),"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Kim Jiyoung, Park Wooram, Kim Dahye, Lee Eun Seong, Lee Don Haeng, Jeong Seok, Park Jae Myung, Na Kun",1900084,Article,ADVANCED FUNCTIONAL MATERIALS,JUN 2019,"Kim Jiyoung[Catholic Univ Korea], Park Wooram[CHA Univ], Kim Dahye[Catholic Univ Korea], Lee Eun Seong[Catholic Univ Korea], Lee Don Haeng[Inha Univ], Jeong Seok[Inha Univ], Park Jae Myung[Catholic Univ Korea], Na Kun[Catholic Univ Korea]",valid
462,462,196084,285,Novel hemostatic adhesive powder for nonvariceal upper gastrointestinal bleeding,Lee DH(corresponding author),"GEORG THIEME VERLAG KG, RUDIGERSTR 14, D-70469 STUTTGART, GERMANY","Park Jin-Seok, Kim Hyung Kil, Shin Yong Woon, Kwon Kye Sook, Lee Don Haeng",E1763-E1767,Article,ENDOSCOPY INTERNATIONAL OPEN,DEC 2019,"Park Jin-Seok[Inha Univ], Kim Hyung Kil[Inha Univ], Shin Yong Woon[Inha Univ], Kwon Kye Sook[Inha Univ], Lee Don Haeng[Inha Univ]",valid
463,463,196084,286,Direct cholangioscopy with argon plasma coagulation of an intraductal papillary mucinous neoplasm of the bile duct,Park JS(corresponding author),"KOREAN ASSOC INTERNAL MEDICINE, 101-2501 LOTTE CASTLE PRESIDENT, 109 MAPO-DAERO, MAPO-GU, SEOUL, 121-916, SOUTH KOREA","Cha Boram, Park Jin-Seok, Jeong Seok, Lee Don Haeng, Kim Joon Mee",940-941,Editorial Material,KOREAN JOURNAL OF INTERNAL MEDICINE,JUL 2019,"Cha Boram[Inha Univ], Park Jin-Seok[Inha Univ], Jeong Seok[Inha Univ], Lee Don Haeng[Inha Univ], Kim Joon Mee[Inha Univ]",valid
464,464,196084,287,Development of an acute pancreatitis porcine model based on endoscopic retrograde infusion of contrast medium or sodium taurocholate,Lee DH(corresponding author),"KOREAN ASSOC INTERNAL MEDICINE, 101-2501 LOTTE CASTLE PRESIDENT, 109 MAPO-DAERO, MAPO-GU, SEOUL, 121-916, SOUTH KOREA","Park Jin-Seok, Jeong Seok, Kim Joon Mee, Lee Bum Hei, Kim Jae Min, Lee Don Haeng",1244-1251,Article,KOREAN JOURNAL OF INTERNAL MEDICINE,NOV 2019,"Park Jin-Seok[Inha Univ], Kim Joon Mee[Inha Univ]",valid
465,465,196084,288,0,0,0,0,0,0,0,0,0,unknown--
466,466,196084,289,The safety of newly developed automatic temperature-controlled endobiliary radiofrequency ablation system for malignant biliary strictures: A prospective multicenter study,Jeong S(corresponding author),"WILEY, 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Lee Yun Nah, Jeong Seok, Choi Hyun Jong, Cho Jae Hee, Cheon Young Koog, Park Se Woo, Kim Yeon Suk, Lee Don Haeng, Moon Jong Ho",1454-1459,Article,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,AUG 2019,"Jeong Seok[Inha Univ], Cho Jae Hee[Gachon Univ], Cheon Young Koog[Konkuk Univ], Park Se Woo[Hallym Univ], Kim Yeon Suk[Gachon Univ], Lee Don Haeng[Inha Univ]",valid
467,467,196084,290,Safety evaluation of the paclitaxel-eluting biliary metal stent incorporated with sodium caprate in porcine biliary tract,0,"WILEY, 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Jang Sung Ill, Na Kun, Jeong Seok, Lee Don Haeng, Lee Dong Ki",245-246,Meeting Abstract,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,SEP 2017,0,valid
468,468,196084,291,EFFICACY OF A PACLITAXEL-ELUTING BILIARY METAL STENT INCORPORATED WITH SODIUM CAPRATE VERSUS A COVERED METAL STENT IN MALIGNANT BILIARY OBSTRUCTION: A PROSPECTIVE RANDOMIZED COMPARATIVE STUDY,0,"MOSBY-ELSEVIER, 360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA","Jang Sung Ill, Lee Kyu Taek, Lee Sang Hyub, Kim Yong-Tae, Jeong Seok, Lee Don Haeng, Choi Jung Sik, Lee DongKi",AB223-AB223,Meeting Abstract,GASTROINTESTINAL ENDOSCOPY,JUN 2018,"Jang Sung Ill[Yonsei Univ], Lee Kyu Taek[Sungkyunkwan Univ], Jeong Seok[Inha Univ], Lee Don Haeng[Inha Univ], Choi Jung Sik[Inje Univ], Lee DongKi[Yonsei Univ]",valid
469,469,196091,66,"Characteristics, trend, and methodological quality of systematic reviews and meta-analyses in nuclear medicine A bibliometric analysis of studies published between 2005 and 2016","ormed a PubMed search to identify systematic reviews and meta-analyses published between 2005 and 2016 in the field of nuclear medicine. The following data were extracted: journal name impact factor type of study topics with cancer type imaging modalities authors, 88.6%) were published about 7 times more frequently than systematic reviews. Oncology was the most commonly studied topic, Kim JH(corresponding author), 81.1%). Both the number of authors and the ratio of discordance between the first and corresponding authors tended to progressively increase over time.","LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA","Hong Jung Ui, Kim Jun Ho, Lee Kyung Hee, Lee Minkyung, Hyun In Young, Cho Soon Gu, Kim Yeo Ju, Lee Ha Young, Kim Ga Ram",e15785,Article,MEDICINE,MAY 2019,"Hong Jung Ui[Inha Univ], Kim Jun Ho[Inha Univ], Lee Kyung Hee[Inha Univ], Lee Minkyung[Inha Univ], Hyun In Young[Inha Univ], Cho Soon Gu[Inha Univ], Kim Yeo Ju[Inha Univ], Lee Ha Young[Inha Univ], Kim Ga Ram[Inha Univ]",valid
470,470,196091,67,Age dependency of mGluR5 availability in 5xFAD mice measured by PET,Choi JY(corresponding author),"ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Lee Minkyung, Lee Hae-June, Jeong Ye Ji, Oh Se Jong, Kang Kyung Jun, Han Sang Jin, Nam Kyung Rok, Lee Yong Jin, Lee Kyo Chul, Ryu Young Hoon",208-216,Article,NEUROBIOLOGY OF AGING,DEC 2019,"Lee Minkyung[Inha Univ], Lee Hae-June[Korea Inst Radiol & Med Sci], Jeong Ye Ji[Korea Inst Radiol & Med Sci], Oh Se Jong[Korea Inst Radiol & Med Sci], Kang Kyung Jun[Korea Inst Radiol & Med Sci], Han Sang Jin[Korea Inst Radiol & Med Sci], Nam Kyung Rok[Korea Inst Radiol & Med Sci], Lee Yong Jin[Korea Inst Radiol & Med Sci], Lee Kyo Chul[Korea Inst Radiol & Med Sci], Ryu Young Hoon[Yonsei Univ]",valid
471,471,196092,63,0,0,0,0,0,0,0,0,0,unknown--
472,472,196092,64,0,0,0,0,0,0,0,0,0,unknown--
473,473,196092,65,0,0,0,0,0,0,0,0,0,unknown--
474,474,197003,162,Fabrication of spherical CNT skeins formed by self-entangled fibers from hollow type mesoporous silica microcapsules,Kim GJ(corresponding author),"ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Park Geun Woo, Yoo Jae Bin, Kim Geon-Joong",457-466,Article,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,AUG 25 2019,"Park Geun Woo[Inha Univ], Yoo Jae Bin[Inha Univ], Kim Geon-Joong[Inha Univ]",valid
475,475,197003,163,Development of NOx removal process for LNG evaporation system: Comparative assessment between response surface methodology (RSM) and artificial neural network (ANN),Hwang S(corresponding author),"ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Kim Ziehyun, Shin Yeonju, Yu Jihye, Kim Geonjoong, Hwang Sungwon",136-147,Article,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,JUN 25 2019,"Kim Ziehyun[Inha Univ], Shin Yeonju[Inha Univ], Yu Jihye[Inha Univ], Kim Geonjoong[Inha Univ], Hwang Sungwon[Inha Univ]",valid
476,476,197003,164,Development of NOx reduction system utilizing artificial neural network (ANN) and genetic algorithm (GA),Hwang S(corresponding author),"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Shin Yeonju, Kim Ziehyun, Yu Jihye, Kim Geonjung, Hwang Sungwon",1418-1429,Article,JOURNAL OF CLEANER PRODUCTION,SEP 20 2019,"Shin Yeonju[Inha Univ], Kim Ziehyun[Inha Univ], Yu Jihye[Inha Univ], Kim Geonjung[Inha Univ], Hwang Sungwon[Inha Univ]",valid
477,477,197003,165,0,0,0,0,0,0,0,0,0,unknown--
478,478,197004,141,0,0,0,0,0,0,0,0,0,unknown--
479,479,197004,144,Temperature-dependent green biosynthesis and characterization of silver nanoparticles using balloon flower plants and their antibacterial potential,"Gopinath SCB(corresponding author), Anbu P(corresponding author)","ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Anbu Periasamy, Gopinath Subash C. B., Yun Hyun Shik, Lee Choul-Gyun",302-309,Article,JOURNAL OF MOLECULAR STRUCTURE,FEB 5 2019,"Anbu Periasamy[Inha Univ], Yun Hyun Shik[Inha Univ], Lee Choul-Gyun[Inha Univ]",valid
