,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,
22,Gd3+ Adsorption over Carboxylic- and Amino-Group Dual-Functionalized UiO-66,0,Ahn WS,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Ahmed Imteaz, Lee Yu-Ri, Yu Kwangsun, Bhattacharjee Samiran, Ahn Wha-Seung",2324-2332,Article,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,FEB 13 2019,,1
23,Amine-Functionalized Metal-Organic Frameworks and Covalent Organic Polymers as Potential Sorbents for Removal of Formaldehyde in Aqueous Phase: Experimental Versus Theoretical Study,0,"Kukkar D, Kim KH","AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Vellingiri Kowsalya, Deng Ya-Xin, Kim Ki-Hyun, Jiang Jheng-Jie, Kim Taejin, Shang Jin, Ahn Wha-Seung, Kukkar Deepak, Boukhvalov Danil W.",1426-1439,Article,ACS APPLIED MATERIALS & INTERFACES,JAN 9 2019,,1
24,Catalytic dehydrogenation of formic acid over palladium nanoparticles immobilized on fibrous mesoporous silica KCC-1,0,Ahn WS,"SCIENCE PRESS, 16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA","Zhang Sigian, Qian Yingjie, Ahn Wha-Seung",1704-1712,Article,CHINESE JOURNAL OF CATALYSIS,Nov-19,,1
25,0,0,0,0,0,0,0,0,0,,0
26,Porous Covalent Organic Polymers Comprising a Phosphite Skeleton for Aqueous Nd(III) Capture,0,Ahn WS,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Ravi Seenu, Puthiaraj Pillaiyar, Yu Kwangsun, Ahn Wha-Seung",11488-11497,Article,ACS APPLIED MATERIALS & INTERFACES,MAR 27 2019,,1
27,Ionic liquid entrapped UiO-66: Efficient adsorbent for Gd3+ capture from water,0,Ahn WS,"ELSEVIER SCIENCE SA, PO BOX 564, 1001 LAUSANNE, SWITZERLAND","Ahmed Imteaz, Adhikary Keshab Kumar, Lee Yu-Ri, Row Kyung Ho, Kang Kyoung-Ku, Ahn Wha-Seung",792-799,Article,CHEMICAL ENGINEERING JOURNAL,AUG 15 2019,,1
28,CO2 adsorption and conversion into cyclic carbonates over a porous ZnBr2-grafted N-heterocyclic carbene-based aromatic polymer,0,Ahn WS,"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Puthiaraj Pillaiyar, Ravi Seenu, Yu Kwangsun, Ahn Wha-Seung",195-205,Article,APPLIED CATALYSIS B-ENVIRONMENTAL,AUG 15 2019,,1
29,Pd(II)-immobilized on a nanoporous triazine-based covalent imine framework for facile cyanation of haloarenes with K4Fe(CN)(6),0,Ahn WS,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Puthiaraj Pillaiyar, Yu Kwangsun, Shim Sang Eun, Ahn Wha-Seung",15-22,Article,MOLECULAR CATALYSIS,Aug-19,,1
30,Recent Progress in Direct Conversion of Methane to Methanol Over Copper-Exchanged Zeolites,0,Ahn WS,"FRONTIERS MEDIA SA, AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND","Park Min Bum, Park Eun Duck, Ahn Wha-Seung",514,Review,FRONTIERS IN CHEMISTRY,JUL 17 2019,,1
31,MgFeAl layered double hydroxide prepared from recycled industrial solid wastes for CO2 fixation by cycloaddition to epoxides,0,"Wang Q, Ahn WS","ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Zhang Siqian, Wang Qiang, Puthiaraj Pillaiyar, Ahn Wha-Seung",395-403,Article,JOURNAL OF CO2 UTILIZATION,Dec-19,,1
32,Adsorption properties of advanced functional materials against gaseous formaldehyde,0,"Kwon EE, Kim KH","ACADEMIC PRESS INC ELSEVIER SCIENCE, 525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA","Vikrant Kumar, Cho Minkyu, Khan Azmatullah, Kim Ki-Hyun, Ahn Wha-Seung, Kwon Eilhann E.",108672,Article,ENVIRONMENTAL RESEARCH,Nov-19,,1
33,Application of Zr-Cluster-Based MOFs for the Adsorptive Removal of Aliphatic Aldehydes (C-1 to C-5) from an Industrial Solvent,0,Kim KH,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Vikrant Kumar, Deng Ya-Xin, Kim Ki-Hyun, Younis Sherif A., Boukhvalov Danil W., Ahn Wha-Seung, Deep Akash",44270-44281,Article,ACS APPLIED MATERIALS & INTERFACES,NOV 27 2019,,1
34,Oxygen-Deficient NiFe2O4 Spinel Nanoparticles as an Enhanced Electrocatalyst for the Oxygen Evolution Reaction,0,Baeck SH,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Lim Dongwook, Kong Hyungseok, Kim Namil, Lim Chaewon, Ahn Wha-Seung, Baeck Sung-Hyeon",1296-1302,Article,CHEMNANOMAT,Oct-19,,1
35,Poly(amidoamine) dendrimer immobilized on mesoporous silica foam (MSF) and fibrous nano-silica KCC-1 for Gd3+ adsorption in water,0,Ahn WS,"ELSEVIER SCIENCE SA, PO BOX 564, 1001 LAUSANNE, SWITZERLAND","Lee Yu-Ri, Zhang Siqian, Yu Kwangsun, Choi Jinsub, Ahn Wha-Seung",122133,Article,CHEMICAL ENGINEERING JOURNAL,DEC 15 2019,,1
36,Conformance control in oil reservoir based on magnetorheological behavior of nanoparticle suspension,0,"Chon BH, Choi HJ","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD, 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND","Esmaeilnezhad Ehsan, Van Si Le, Choi Hyoung Jin, Chon Bo Hyun, Schaffie Mahin, Gholizadeh Mostafa, Ranjbar Mohammad",1127-1134,Article,JOURNAL OF ENVIRONMENTAL MANAGEMENT,FEB 1 2019,,1
37,Fabrication and electro-responsive electrorheological characteristics of rice husk-based nanosilica suspension,0,"Vu CM, Choi HJ","ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Kwon Seung Hyuk, Park In Hye, Cuong Manh Vu, Choi Hyoung Jin",432-437,Article,JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS,Feb-19,,1
38,Polymer-Magnetic Composite Particles of Fe3O4/Poly(o-anisidine) and Their Suspension Characteristics under Applied Magnetic Fields,0,Choi HJ,"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Lee Jin Hee, Lu Qi, Lee Jae Yun, Choi Hyoung Jin",219,Article,POLYMERS,Feb-19,,1
39,Synthesis and thermal analysis of hydrophobic iron oxide nanoparticles for improving in-situ combustion efficiency of heavy oils,0,"Esmaeilnezhad E, Choi HJ","ELSEVIER SCIENCE INC, 360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA","Esmaeilnezhad Ehsan, Karimian Milad, Choi Hyoung Jin",402-409,Article,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,MAR 25 2019,,1
40,Fabrication of dual-coated graphene oxide nanosheets by polypyrrole and poly(ionic liquid) and their enhanced electrorheological responses,0,"Choi HJ, Liu YD","ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Chen Panpan, Cheng Qianqian, Wang Li-Min, Liu Ying Dan, Choi Hyoung Jin",106-115,Article,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,JAN 25 2019,,1
41,Facile Synthesis of Solvent Cast Arabic Gum Coated Carbonyl Iron Microspheres and Their Magnetorheological Characteristics,0,Choi HJ,"AMER SCIENTIFIC PUBLISHERS, 26650 THE OLD RD, STE 208, VALENCIA, CA 91381-0751 USA","Kwon Seung Hyuk, Sim Hyung Hoon, Choi Hyoung Jin",3905-3910,Article,JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,Jul-19,,1
42,"SO3H-dendrimer functionalized magnetic nanoparticles (Fe3O4@D-NH-(CH2)(4)-SO3H): Synthesis, characterization and its application as a novel and heterogeneous catalyst for the one -pot synthesis of polyfunctionalized pyrans and polyhydroquinolines",0,Maleki B,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Maleki Behrooz, Reiser Oliver, Esmaeilnezhad Ehsan, Choi Hyoung Jin",129-141,Article,POLYHEDRON,APR 1 2019,,1
43,Jellyfish-shaped p-phenylenediamine functionalized graphene oxide-g-polyaniline fibers and their electrorheology,0,"Zhang K, Choi HJ","ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Zhang Ke, Li Haitao, Dong Yu Zhen, Zhang Honglin, Zhao Wei, Zhao Siqin, Choi Hyoung Jin",29-35,Article,POLYMER,APR 2 2019,,1
44,Magnetorheological characteristics of carbonyl iron microparticles with different shapes,0,Choi HJ,"KOREAN SOC RHEOLOGY, KOREA SCI TECHNOLOGY CENTER, 635-4 YUKSAM-DONG, STE 806, KANGNAM-GOO, SEOUL 135-703, SOUTH KOREA","Lee Jae Yun, Kwon Seung Hyuk, Choi Hyoung Jin",41-47,Article,KOREA-AUSTRALIA RHEOLOGY JOURNAL,Feb-19,,1
45,Magnetostrictive and viscoelastic characteristics of polyurethane-based magnetorheological elastomer,0,"Bica I, Choi HJ","ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Bica Ioan, Anitas Eugen M., Averis Larisa Marina Elisabeth, Choi Hyoung Jin",128-133,Article,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,MAY 25 2019,,1
46,Rheological effect of Zn-doped ferrite nanoparticle additive with enhanced magnetism on micro-spherical carbonyl iron based magnetorheological suspension,0,Choi HJ,"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Han Jae Kyeong, Lee Jae Yun, Choi Hyoung Jin",168-173,Article,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,JUN 20 2019,,1
47,Polyindole-Coated Soft-Magnetic Particles and their Viscoelastic Behaviors under Applied Magnetic Field,0,Choi HJ,"KOREAN MAGNETICS SOC, KOREA SCIENCES & TECHNOL CTR, RM 905, YEOKSAM-DONG 635-4, KANGNAM-KU, SEOUL, 135-703, SOUTH KOREA","Park In Hye, Kwon Seung Hyuk, Choi Hyoung Jin, Kim Nam Hui, You Chun Yeol",155-161,Article; Proceedings Paper,JOURNAL OF MAGNETICS,Mar-19,,1
