,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,
389,0,0,0,0,0,0,0,0,0,,0
390,0,0,0,0,0,0,0,0,0,,0
391,Adhesion properties of poly(ethylene oxide)-lignin blend for nanocellulose composites,0,Kim J,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Jayaramudu Tippabattini, Ko Hyun-U., Kim Hyun Chan, Kim Jung Woong, Choi Eun Sik, Kim Jaehwan",43-50,Article,COMPOSITES PART B-ENGINEERING,JAN 1 2019,,1
392,Effect of Wet Spinning and Stretching to Enhance Mechanical Properties of Cellulose Nanofiber Filament,0,Kim J,"KOREAN SOC PRECISION ENG, RM 306, KWANGMYUNG BLDG, 5-4 NONHYUN-DONG, KANGNAM-GU, SEOUL, 135-010, SOUTH KOREA","Kim Hyun Chan, Kim Debora, Lee Ji Yun, Zhai Lindong, Kim Jaehwan",567-575,Article,INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING-GREEN TECHNOLOGY,Jul-19,,1
393,Strong and tough long cellulose fibers made by aligning cellulose nanofibers under magnetic and electric fields,0,Kim J,"SPRINGER, VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","Kim Hyun Chan, Kim Jung Woong, Zhai Lindong, Kim Jaehwan",5821-5829,Article,CELLULOSE,Jul-19,,1
394,Cross-linking of cellulose nanofiber films with glutaraldehyde for improved mechanical properties,0,"Kang TJ, Kim J","ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Jeon Jei Gyeong, Kim Hyun Chan, Palem Ramasubba Reddy, Kim Jaehwan, Kang Tae June",99-102,Article,MATERIALS LETTERS,SEP 1 2019,,1
395,Fabrication and electrical properties of regenerated cellulose-loaded exfoliated graphene nanoplatelet composites,0,Kim JH,"SPRINGER, 233 SPRING ST, NEW YORK, NY 10013 USA","Gnidakouong Joel Renaud Ngouanom, Gao Xiaoyuan, Kafy Abdullahil, Kim Jaehwan, Kim Joo-Hyung",115-122,Article,CARBON LETTERS,Apr-19,,1
396,"Swelling Behavior of Polyacrylamide-Cellulose Nanocrystal Hydrogels: Swelling Kinetics, Temperature, and pH Effects",0,Kim J,"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Jayaramudu Tippabattini, Ko Hyun-U, Kim Hyun Chan, Kim Jung Woong, Kim Jaehwan",2080,Article,MATERIALS,JUL 1 2019,,1
397,Green Nanocomposites Made With Polyvinyl Alcohol and Cellulose Nanofibers Isolated From Recycled Paper,0,Kim J,"TECH SCIENCE PRESS, 871 CORONADO CENTER DR, SUTE 200, HENDERSON, NV 89052 USA","Le Van Hai, Zhai Lindong, Kim Hyun Chan, Kim Jung Woong, Kim Jaehwan",621-629,Article,JOURNAL OF RENEWABLE MATERIALS,2019,,1
398,Synergistic effect of polydopamine-polyethylenimine copolymer coating on graphene oxide for EVA nanocomposites and high-performance triboelectric nanogenerators,0,Kim J,"ROYAL SOC CHEMISTRY, THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","Roy Sunanda, Hai Le Van, Kim Jaehwan",2444-2453,Article,NANOSCALE ADVANCES,JUN 1 2019,,1
399,Review of Soft Actuator Materials,0,Kim J,"KOREAN SOC PRECISION ENG, RM 306, KWANGMYUNG BLDG, 5-4 NONHYUN-DONG, KANGNAM-GU, SEOUL, 135-010, SOUTH KOREA","Kim Jaehwan, Kim Jung Woong, Kim Hyun Chan, Zhai Lindong, Ko Hyun-U, Muthoka Ruth M.",2221-2241,Review,INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING,Dec-19,,1
400,0,0,0,0,0,0,0,0,0,,0
401,Preliminary operational aspects of microwave-powered airship drone,0,Kim J,"SAGE PUBLICATIONS LTD, 1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND","Song Kyo D., Kim Jaehwan, Kim Jung W., Park Yeonjoon, Ely Jay J., Kim Hyun J., Choi Sang H.",1756830000000000,Article,INTERNATIONAL JOURNAL OF MICRO AIR VEHICLES,Jul-19,,1
402,A G-Fresnel Optical Device and Image Processing Based Miniature Spectrometer for Mechanoluminescence Sensor Applications,0,Kim GW,"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Min Kyung-Pyo, Kim Jaehwan, Song Kyo D., Kim Gi-Woo",3528,Article,SENSORS,AUG 20 2019,,1
403,0,0,0,0,0,0,0,0,0,,0
404,0,0,0,0,0,0,0,0,0,,0
405,0,0,0,0,0,0,0,0,0,,0
406,0,0,0,0,0,0,0,0,0,,0
407,0,0,0,0,0,0,0,0,0,,0
408,0,0,0,0,0,0,0,0,0,,0
409,0,0,0,0,0,0,0,0,0,,0
410,0,0,0,0,0,0,0,0,0,,0
411,0,0,0,0,0,0,0,0,0,,0
412,0,0,0,0,0,0,0,0,0,,0
413,0,0,0,0,0,0,0,0,0,,0
414,Neural feedback is insufficient in preterm infants during neurally adjusted ventilatory assist,0,Lee J,"WILEY, 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Nam Soo Kyung, Lee Juyoung, Jun Yong Hoon",1277-1283,Article,PEDIATRIC PULMONOLOGY,Aug-19,,1
415,0,0,0,0,0,0,0,0,0,,0
416,"Case of both rivaroxaban- and dabigatran-induced leukocytoclastic vasculitis, during management of pulmonary thromboembolism",0,Lee HL,"ELSEVIER SCIENCE BV, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","Lee Hong Lyeol, Kim Lucia, Kim Cheol Woo, Kim Jung Soo, Nam Hae Sung, Ryu Jeong Seon",219-222,Article,RESPIRATORY MEDICINE CASE REPORTS,2019,,1
417,Korean Guidelines for Diagnosis and Management of Interstitial Lung Diseases: Part 2. Idiopathic Pulmonary Fibrosis,0,Park MS,"TAEHAN KYORHAEK HYOPHOE-KOREAN ACAD TUBERCULOSIS & RESPIRATORY DISEASES, 101-605 SEOCHO ART XI 1583-10 SEOCHO 3-DONG, SEOCHO-GU, SEOUL, 137-875, SOUTH KOREA","Lee Sang Hoon, Yeo Yoomi, Kim Tae-Hyung, Lee Hong Lyeol, Lee Jin Hwa, Park Yong Bum, Park Jong Sun, Kim Yee Hyung, Song Jin Woo, Jhun Byung Woo",102-117,Review,TUBERCULOSIS AND RESPIRATORY DISEASES,Apr-19,,1
418,Korean Guidelines for Diagnosis and Management of Interstitial Lung Diseases: Part 1. Introduction,0,Chung MP,"TAEHAN KYORHAEK HYOPHOE-KOREAN ACAD TUBERCULOSIS & RESPIRATORY DISEASES, 101-605 SEOCHO ART XI 1583-10 SEOCHO 3-DONG, SEOCHO-GU, SEOUL, 137-875, SOUTH KOREA","Park Sung-Woo, Baek Ae Rin, Lee Hong Lyeol, Jeong Sung Whan, Yang Sei-Hoon, Kim Yong Hyun, Chung Man Pyo",269-276,Review,TUBERCULOSIS AND RESPIRATORY DISEASES,Oct-19,,1
419,Clinical features and prognosis of patients with idiopathic pulmonary fibrosis and chronic obstructive pulmonary disease,0,Park MS,"INT UNION AGAINST TUBERCULOSIS LUNG DISEASE (I U A T L D), 68 BOULEVARD SAINT-MICHEL,, 75006 PARIS, FRANCE","Lee S. H., Park J. S., Kim S. Y., Kim D. S., Kim Y. W., Chung M. P., Uh S. T., Park C. S., Park S. W., Jeong S. H.",678-684,Article,INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE,JUN 1 2019,,1
420,Efficacy and safety of switching from rituximab to biosimilar CT-P10 in rheumatoid arthritis: 72-week data from a randomized Phase 3 trial,0,Yoo DH,"OXFORD UNIV PRESS, GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND","Shim Seung Cheol, Bozic-Majstorovic Ljubinka, Kasay Alfredo Berrocal, El-Khouri Elias Chalouhi, Irazoque-Palazuelos Fedra, Molina Francisco Fidencio Cons, Medina-Rodriguez Francisco G., Miranda Pedro, Shesternya Pavel, Chavez-Corrales Jose",2193-2202,Article,RHEUMATOLOGY,Dec-19,,1
421,Efficacy and safety of tocilizumab in Korean patients with active rheumatoid arthritis,0,Song YW,"KOREAN ASSOC INTERNAL MEDICINE, 101-2501 LOTTE CASTLE PRESIDENT, 109 MAPO-DAERO, MAPO-GU, SEOUL, 121-916, SOUTH KOREA","Baek Han Joo, Lim Mie Jin, Park Won, Park Sung Hwan, Shim Seung-Cheol, Yoo Dae-Hyun, Kim Hyun Ah, Lee Soo Kon, Lee Yun Jong, Park Young Eun",917-931,Article,KOREAN JOURNAL OF INTERNAL MEDICINE,Jul-19,,1
422,Long-Term Efficacy and Safety of Biosimilar CT-P10 Versus Innovator Rituximab in Rheumatoid Arthritis: 48-Week Results from a Randomized Phase III Trial,0,Yoo DH,"ADIS INT LTD, 5 THE WAREHOUSE WAY, NORTHCOTE 0627, AUCKLAND, NEW ZEALAND","Suh Chang-Hee, Yoo Dae Hyun, Berrocal Kasay Alfredo, Chalouhi El-Khouri Elia, Cons Molina Francisco Fidenci, Shesternya Pavel, Miranda Pedro, Medina-Rodriguez Francisco G., Wiland Piotr, Jeka Slawomir",79-91,Article,BIODRUGS,Feb-19,,1
423,Extensive Digital Contractures Caused by Gout,0,Jung KH,"TURKISH LEAGUE AGAINST RHEUMATISM, TALATPASA BULVARI DUMLUPINAR CAD 40 3 CEBECI DORTYOL, ANKARA, 06100, TURKEY","Lee Seung Yun, Park Won, Kwon Seong Ryul, Kim Yeo Ju, Lim Mie Jin, Jo Minjae, Jung Kyong-Hee",119-121,Letter,ARCHIVES OF RHEUMATOLOGY,Mar-19,,1
424,A RETROSPECTIVE ANALYSIS OF LONG TERM SAFETY UP TO FIVE YEARS OF INFLIXIMAB BIOSIMILAR CT-P13 IN PATIENTS WITH RHEUMATOID ARTHRITIS AND ANKYLOSING SPONDYLITIS,0,asd,"BMJ PUBLISHING GROUP, BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND","Kim Tae-Hwan, Lee Shin-Seok, Park Won, Song Yeong Wook, Suh Chang-Hee, Kim Sookyoung, Lee Youngnam, Yoo DaeHyun",1159-1160,Meeting Abstract,ANNALS OF THE RHEUMATIC DISEASES,Jun-19,,1
425,VASCULAR CALCIFICATION BY INFLAMMATION COULD BE AN IMPORTANT CAUSE OF CARDIOVASCULAR DISEASE IN PATIENTS WITH ANKYLOSING SPONDYLITIS,0,asd,"BMJ PUBLISHING GROUP, BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND","Lee Seung Yun, Kwon Seong-Ryul, Yoon Su-Ah, Jung Kyong-Hee, Park Won, Park Shin-Goo, Lim Mie Jin",866-866,Meeting Abstract,ANNALS OF THE RHEUMATIC DISEASES,Jun-19,,1
426,"SAFETY AND EFFICACY OF LY3337641, A BRUTON'S TYROSINE KINASE INHIBITOR IN PATIENTS WITH RHEUMATOID ARTHRITIS: A RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, 2-PART PHASE 2 STUDY",0,asd,"BMJ PUBLISHING GROUP, BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND","Genovese Mark C., Spindler Alberto, Sagawa Akira, Park Won, Dudek Anna, Kivitz Alan, Chao Jeannie, Chan Lai Shan , Barchuk William, Nirula Ajay",1109-1110,Meeting Abstract,ANNALS OF THE RHEUMATIC DISEASES,Jun-19,,1
427,Associations of Serum Uric Acid with Cardiovascular Disease Risk: Data from the Korea National Health and Nutrition Examination Survey,0,asd,"WILEY, 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Jung Kyong-Hee, Lee Seung Yun, Park Won, Suh Young Ju, Lim Mie Jin, Kwon Seong-Ryul, Lee Joo-Hyun, Joo Young Bin",0,Meeting Abstract,ARTHRITIS & RHEUMATOLOGY,Oct-19,,1
428,Obesity Protects Patients with Rheumatoid Arthritis from Systemic Bone Losing During Anti-TNF Treatment,0,asd,"WILEY, 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Lim Mie Jin, Park Won, Kwon Seong Ryul, Jung Kyong-Hee, Lee Seung Yun",358-358,Meeting Abstract,JOURNAL OF BONE AND MINERAL RESEARCH,Dec-19,,1
429,Dramatic unilateral decrease in uptake via the dopamine transporter: Imaging in a patient with hemiparkinsonism following the lacunar stroke in substantia nigra,0,Yoon BN,"ASEAN NEUROLOGICAL ASSOC, UNIV MALAYA MEDICAL CENTRE, NEUROLOGY LABORATORY, KUALA LUMPUR, 59100, MALAYSIA","Ahn Jong Hyeon, Kim Lui-JunYang, Kim Eun Young, Park Jeong Jin, Yoon Byung-Nam",75-78,Article,NEUROLOGY ASIA,Mar-19,,1
430,A multi-institutional and case-matched control study on treatment outcomes of consolidative radiotherapy after a full course of R-CHOP compared with R-CHOP alone in Stage I-II diffuse large B-cell lymphoma (KROG 17-02),0,Lee JH,"OXFORD UNIV PRESS, GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND","Chung Mi Joo, Cho Won Kyung, Oh Dongryul, Eom Keun-Yong, Kim Jin Hee, Kim Woo Chul, Lee Jong Hoon",677-684,Article,JOURNAL OF RADIATION RESEARCH,Sep-19,,1
431,"Cancer Statistics in Korea: Incidence, Mortality, Survival, and Prevalence in 2016",0,Won YJ,"KOREAN CANCER ASSOCIATION, RM 1824, GWANGHWAMUN OFFICIA, 92 SAEMUNAN-RO, JONGNO-GU, SEOUL, 110-999, SOUTH KOREA","Jung Kyu-Won, Won Young-Joo, Kong Hyun-Joo, Lee Eun Sook, Kim Chang-Hoon, Yoo Cheol-In, Kim Yong-Dae, Nam Hae-Sung, Huh Jung-Sik, Youm Jung-Ho",417-430,Article,CANCER RESEARCH AND TREATMENT,Apr-19,,1
432,Early toxicity of moderate hypofractionated volumetric modulated Arc radiotherapy for localized prostate cancer,0,Kim HJ,"IJRR-IRANIAN JOURNAL RADIATION RES, NO 29, 4TH FL, CHAMRAN MEDICAL BLDG, PARVANEH ST, ALE-AHMAD HWY, TEHRAN, 00000, IRAN","Kim H. J., Lee J. S., Kim W. C.",293-300,Article,INTERNATIONAL JOURNAL OF RADIATION RESEARCH,Apr-19,,1
433,A Novel Immunomodulatory Mechanism Dependent on Acetylcholine Secreted by Human Bone Marrow-derived Mesenchymal Stem Cells,0,Song SU,"KOREAN SOC STEM CELL RESEARCH, CATHOLIC UNIV KOREA 505, INST BIOMEDICAL INDUSTRY, BANPO-DONG, SEOCHO-GU 00000, SOUTH KOREA","Yi Tac-Ghee, Cho Yun-Kyoung, Lee Hyun-Joo, Kim Junghee, Jeon Myung-Shin, Ham Dong-Sik, Kim Woo Cheol, Song Sun U.",315-330,Article,INTERNATIONAL JOURNAL OF STEM CELLS,Jul-19,,1
434,0,0,0,0,0,0,0,0,0,,0
435,Association of Circulating Irisin Concentrations with Weight Loss after Roux-en-Y Gastric Bypass Surgery,0,"Shin DW, Kang JH","MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Lee Yeon Ji, Heo Yoonseok, Choi Ji-Ho, Park Sunghyouk, Kim Kyoung Kon, Shin Dong Wun, Kang Ju-Hee",660,Article,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,FEB 2 2019,,1
436,0,0,0,0,0,0,0,0,0,,0
437,0,0,0,0,0,0,0,0,0,,0
438,0,0,0,0,0,0,0,0,0,,0
439,The Impact of Comorbidity Burden on The Association between Vascular Access Type and Clinical Outcomes among Elderly Patients Undergoing Hemodialysis,0,Lee SW,"NATURE PUBLISHING GROUP, MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Jhee Jong Hyun, Hwang Seun Deuk, Song Joon Ho, Lee Seoung Woo",18156,Article,SCIENTIFIC REPORTS,DEC 3 2019,,1
440,0,0,0,0,0,0,0,0,0,,0
441,"Effectiveness of Antithymocyte Globulin Induction Dosing Regimens in Kidney Transplantation Patients: A Network Meta-analysis (vol 51, pg 2606, 2019)",0,Go J,"ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Go Jin, Ko KyungJai, Jun Dami, Kwon Su-kyung",3481-3481,Correction,TRANSPLANTATION PROCEEDINGS,Dec-19,,1
442,Effect of Fluvastatin on Cardiovascular Complications in Kidney Transplant Patients: A Systemic Review and Meta-analysis,0,Song JH,"ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Hwang Seun Deuk, Lee Jin Ho, Jhee Jong Hyun, Kim Yoon Ji, Park Keun-Myoung, Kim Joong Kyung, Lee Seoung Woo, Song Joon Ho",2710-2713,Article; Proceedings Paper,TRANSPLANTATION PROCEEDINGS,Oct-19,,1
443,0,0,0,0,0,0,0,0,0,,0
444,0,0,0,0,0,0,0,0,0,,0
445,0,0,0,0,0,0,0,0,0,,0
446,"The Prevalence of Low Plasma Neutrophil Gelatinase-Associated Lipocalin Level in Systemic Inflammation and its Relationship with Proinflammatory Cytokines, Procalcitonin, Nutritional Status, and Leukocyte Profiles",0,Choi JW,"CLIN LAB PUBL, IM BREITSPIEL 15, HEIDELBERG, D-69126, GERMANY","Choi Jong Weon, Fujii Tatsuyoshi",1063-1074,Article,CLINICAL LABORATORY,2019,,1
447,"Relationship between neutrophil gelatinase-associated lipocalin, cardiac biomarkers, inflammation index and renal parameters in cardiovascular disease",0,Choi JW,"INST BIOLOSKA ISTRAZIVANJA SINISA STANKOVIC, 29 NOVEMBRA 142, BEOGRAD, 11060, SERBIA","Choi Jong Weon, Lee Moon Hee, Fujii Tatsuyoshi",621-628,Article,ARCHIVES OF BIOLOGICAL SCIENCES,2019,,1
448,0,0,0,0,0,0,0,0,0,,0
449,Actinomycotic osteomyelitis of a long bone in an immunocompetent adult: a case report and literature review,0,Kim MK,"BMC, CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Ryu Dong Jin, Jeon Yoon Sang, Kwon Hea Yoon, Choi Suk Jin, Roh Tae Hoon, Kim Myung Ku",185,Review,BMC MUSCULOSKELETAL DISORDERS,MAY 1 2019,,1
450,The proper correction of the mechanical axis in high tibial osteotomy with concomitant cartilage procedures-a retrospective comparative study,0,Park JH,"BMC, CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Kim Myung Ku, Ko Bong Sung, Park Joo Hyun",281,Article,JOURNAL OF ORTHOPAEDIC SURGERY AND RESEARCH,AUG 28 2019,,1
451,RELATIONS OF BLOOD PRESSURE VARIABILITY TO LEFT VENTRICULAR FUNCTION AND ARTERIAL STIFFNESS IN THE HYPERTENSIVE PATIENTS,0,,"LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA","Shin Sung-Hee, Jang Ji-Hoon, Lee Man-Jong, Park Sang-Don, Kwon Sung-Woo, Woo Seong-Ill, Kim Dae-Hyeok, Kim Moon-Jae, Park Keum-Soo, Kwan Jun",E484-E485,Meeting Abstract,JOURNAL OF HYPERTENSION,Sep-16,,1
452,0,0,0,0,0,0,0,0,0,,0
453,0,0,0,0,0,0,0,0,0,,0
454,0,0,0,0,0,0,0,0,0,,0
455,"Safety, efficacy, and removability of a fully covered multi-hole metal stent in a swine model of hilar biliary stricture: a feasibility study",0,Jeong S,"GEORG THIEME VERLAG KG, RUDIGERSTR 14, D-70469 STUTTGART, GERMANY","Park Jin-Seok, Jeong Seok, Kobayashi Makoto, Lee Don Haeng",E498-E503,Article,ENDOSCOPY INTERNATIONAL OPEN,Apr-19,,1
456,Balloons larger than 15 mm can increase the risk of adverse events following endoscopic papillary large balloon dilation,0,Kim JH,"WILEY, 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Lee Gil Ho, Yang Min Jae, Kim Jin Hong, Hwang Jae Chul, Yoo Byung Moo, Lee Dong Ki, Jang Sung Ill, Lee Tae Hoon, Park Sang-Heum, Park Jin-Seok",1450-1453,Article,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,Aug-19,,1
457,"Hypoxia-induced microRNA-590-5p promotes colorectal cancer progression by modulating matrix metalloproteinase activity (vol 416, pg 31, 2018)",0,Park HJ,"ELSEVIER IRELAND LTD, ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000, IRELAND","Kim Chan Woo, Oh Eun-Taex, Kim Joon Mee, Park Jin-Seok, Lee Don Haeng, Lee Jae-Seon, Kim Kyung Keun, Park Heon Joo",73-73,Correction,CANCER LETTERS,2019,,1
458,Comparison of endoscopic papillary large balloon dilation with or without endoscopic sphincterotomy for the treatment of large bile duct stones,0,,"GEORG THIEME VERLAG KG, RUDIGERSTR 14, D-70469 STUTTGART, GERMANY",Bories E.,203-203,Editorial Material,ENDOSCOPY,Feb-19,,1
459,A Novel High-Visibility Radiopaque Tantalum Marker for Biliary Self-Expandable Metal Stents,0,Lee DH,"EDITORIAL OFFICE GUT & LIVER, 305 LOTTE GOLD ROSE II, 890-59, DAECHI 4-DONG, GANGNAM-GU, SEOUL, 135-839, SOUTH KOREA","Park Jin-Seok, Yim Kang Hyuck, Jeong Seok, Lee Don Haeng, Kim Dong Gon",366-372,Article,GUT AND LIVER,May-19,,1
460,"BST-104, a Water Extract of Lonicera japonica, Has a Gastroprotective Effect via Antioxidant and Anti-Inflammatory Activities (vol 22, pg 140, 2019)",0,,"MARY ANN LIEBERT, INC, 140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, NY 10801 USA",Bang B. W.,433-433,Correction,JOURNAL OF MEDICINAL FOOD,APR 1 2019,,1
461,Tumor-Specific Aptamer-Conjugated Polymeric Photosensitizer for Effective Endo-Laparoscopic Photodynamic Therapy,0,Na K,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY","Kim Jiyoung, Park Wooram, Kim Dahye, Lee Eun Seong, Lee Don Haeng, Jeong Seok, Park Jae Myung, Na Kun",1900084,Article,ADVANCED FUNCTIONAL MATERIALS,Jun-19,,1
462,Novel hemostatic adhesive powder for nonvariceal upper gastrointestinal bleeding,0,Lee DH,"GEORG THIEME VERLAG KG, RUDIGERSTR 14, D-70469 STUTTGART, GERMANY","Park Jin-Seok, Kim Hyung Kil, Shin Yong Woon, Kwon Kye Sook, Lee Don Haeng",E1763-E1767,Article,ENDOSCOPY INTERNATIONAL OPEN,Dec-19,,1
463,Direct cholangioscopy with argon plasma coagulation of an intraductal papillary mucinous neoplasm of the bile duct,0,Park JS,"KOREAN ASSOC INTERNAL MEDICINE, 101-2501 LOTTE CASTLE PRESIDENT, 109 MAPO-DAERO, MAPO-GU, SEOUL, 121-916, SOUTH KOREA","Cha Boram, Park Jin-Seok, Jeong Seok, Lee Don Haeng, Kim Joon Mee",940-941,Editorial Material,KOREAN JOURNAL OF INTERNAL MEDICINE,Jul-19,,1
464,Development of an acute pancreatitis porcine model based on endoscopic retrograde infusion of contrast medium or sodium taurocholate,0,Lee DH,"KOREAN ASSOC INTERNAL MEDICINE, 101-2501 LOTTE CASTLE PRESIDENT, 109 MAPO-DAERO, MAPO-GU, SEOUL, 121-916, SOUTH KOREA","Park Jin-Seok, Jeong Seok, Kim Joon Mee, Lee Bum Hei, Kim Jae Min, Lee Don Haeng",1244-1251,Article,KOREAN JOURNAL OF INTERNAL MEDICINE,Nov-19,,1
465,0,0,0,0,0,0,0,0,0,,0
466,The safety of newly developed automatic temperature-controlled endobiliary radiofrequency ablation system for malignant biliary strictures: A prospective multicenter study,0,Jeong S,"WILEY, 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Lee Yun Nah, Jeong Seok, Choi Hyun Jong, Cho Jae Hee, Cheon Young Koog, Park Se Woo, Kim Yeon Suk, Lee Don Haeng, Moon Jong Ho",1454-1459,Article,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,Aug-19,,1
467,Safety evaluation of the paclitaxel-eluting biliary metal stent incorporated with sodium caprate in porcine biliary tract,0,,"WILEY, 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Jang Sung Ill, Na Kun, Jeong Seok, Lee Don Haeng, Lee Dong Ki",245-246,Meeting Abstract,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,Sep-17,,1
468,EFFICACY OF A PACLITAXEL-ELUTING BILIARY METAL STENT INCORPORATED WITH SODIUM CAPRATE VERSUS A COVERED METAL STENT IN MALIGNANT BILIARY OBSTRUCTION: A PROSPECTIVE RANDOMIZED COMPARATIVE STUDY,0,,"MOSBY-ELSEVIER, 360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA","Jang Sung Ill, Lee Kyu Taek, Lee Sang Hyub, Kim Yong-Tae, Jeong Seok, Lee Don Haeng, Choi Jung Sik, Lee DongKi",AB223-AB223,Meeting Abstract,GASTROINTESTINAL ENDOSCOPY,Jun-18,,1
469,"Characteristics, trend, and methodological quality of systematic reviews and meta-analyses in nuclear medicine A bibliometric analysis of studies published between 2005 and 2016",0,"81.1%). Both the number of authors and the ratio of discordance between the first and corresponding authors tended to progressively increase over time., ormed a PubMed search to identify systematic reviews and meta-analyses published between 2005 and 2016 in the field of nuclear medicine. The following data were extracted: journal name impact factor type of study topics with cancer type imaging modalities authors, Kim JH, 88.6%) were published about 7 times more frequently than systematic reviews. Oncology was the most commonly studied topic","LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA","Hong Jung Ui, Kim Jun Ho, Lee Kyung Hee, Lee Minkyung, Hyun In Young, Cho Soon Gu, Kim Yeo Ju, Lee Ha Young, Kim Ga Ram",e15785,Article,MEDICINE,May-19,,1
470,Age dependency of mGluR5 availability in 5xFAD mice measured by PET,0,Choi JY,"ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Lee Minkyung, Lee Hae-June, Jeong Ye Ji, Oh Se Jong, Kang Kyung Jun, Han Sang Jin, Nam Kyung Rok, Lee Yong Jin, Lee Kyo Chul, Ryu Young Hoon",208-216,Article,NEUROBIOLOGY OF AGING,Dec-19,,1
471,0,0,0,0,0,0,0,0,0,,0
472,0,0,0,0,0,0,0,0,0,,0
473,0,0,0,0,0,0,0,0,0,,0
474,Fabrication of spherical CNT skeins formed by self-entangled fibers from hollow type mesoporous silica microcapsules,0,Kim GJ,"ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Park Geun Woo, Yoo Jae Bin, Kim Geon-Joong",457-466,Article,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,AUG 25 2019,,1
475,Development of NOx removal process for LNG evaporation system: Comparative assessment between response surface methodology (RSM) and artificial neural network (ANN),0,Hwang S,"ELSEVIER SCIENCE INC, STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Kim Ziehyun, Shin Yeonju, Yu Jihye, Kim Geonjoong, Hwang Sungwon",136-147,Article,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,JUN 25 2019,,1
476,Development of NOx reduction system utilizing artificial neural network (ANN) and genetic algorithm (GA),0,Hwang S,"ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","Shin Yeonju, Kim Ziehyun, Yu Jihye, Kim Geonjung, Hwang Sungwon",1418-1429,Article,JOURNAL OF CLEANER PRODUCTION,SEP 20 2019,,1
477,0,0,0,0,0,0,0,0,0,,0
478,0,0,0,0,0,0,0,0,0,,0
