사번,연번,저서명(원어),저서형태,출판년월,출판사,val_title,val_저서형태,val_출판년월,val_출판사,val_author_number,val_main_author
217048,9,야마센 홀로 지키다,전체 - 초판,201905,건강미디어협동조합,valid,valid,valid,valid,invalid,invalid 
218015,1,SPORT MARKETING,chapter - 초판,201906,이프레스,valid,valid,valid,invalid (0.00),invalid,invalid 
218022,2,임상의를 위한 비디오 두부 충동검사,chapter - 초판,201902,세종의학,valid,valid,valid,valid,invalid,invalid 
218022,3,임상의를 위한 비디오 두부 충동검사,전체 - 초판,201902,979--11-89316-07-5,valid,valid,valid,invalid (0.00),invalid,invalid 
218024,1,뇌신경마취학,전체 - 초판,201904,군자출판사,valid,valid,valid,valid,invalid,invalid 
218091,1,특수교육의 이해,chapter - 개정,201903,학지사,valid,invalid,valid,valid,valid,valid 
219006,1,Cell Culture Engineering: Recombinant Protein Production,chapter - 초판,201909,Wiley-VCH Verlag GmbH,unknown,unknown,unknown,unknown,unknown,unknown 
219012,6,북한주민 통일의식 2018,chapter - 초판,201903,서울대학교 통일평화연구원,unknown,unknown,unknown,unknown,unknown,unknown 
219012,7,(2018) 통일의식조사,chapter - 초판,201903,서울대학교 통일평화연구원,valid,valid,valid,valid,valid,valid 
219012,8,"민주주의의 두 얼굴: 2018년 지방선거를 통해서 본 유권자, 정당 그리고 사회통합",chapter - 초판,201905,푸른길,valid,valid,valid,valid,valid,valid 
219012,9,통일 연구자의 눈에 비친 사회주의 베트남의 역사와 정치,chapter - 초판,201906,서울대학교출판문화원,unknown,unknown,unknown,unknown,unknown,unknown 
219027,1,거시경제 원리와 응용,전체 - 초판,201908,경문사,valid,valid,valid,valid,valid,valid 
219285,2,Characterization Techniques for Perovskite Solar Cell Materials and Devices,chapter - 초판,201906,ELSEVIER,unknown,unknown,unknown,unknown,unknown,unknown 
220194,1,Encyclopedia of  Gerontology and Population Aging,chapter - 초판,201908,"Springer, Cham",unknown,unknown,unknown,unknown,unknown,unknown 
220195,1,한국어 정보구조 연구,전체 - 초판,201912,태학사,valid,valid,valid,valid,valid,valid 
